date,eu_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,eurusd_close,eurusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2010-01-04,1.445750,1.090000,0.355750,,1.442398,,0.000000,,0.000000,,1.000000,1.000000
2010-01-05,1.408619,1.010000,0.398619,0.042868,1.436596,-0.004022,0.000000,-0.000000,0.000000,-0.000000,1.000000,1.000000
2010-01-06,1.402083,1.010000,0.392083,-0.006536,1.440403,0.002650,1.000000,0.002650,0.000174,0.002477,1.002650,1.002477
2010-01-07,1.382867,1.030000,0.352867,-0.039215,1.431803,-0.005971,-1.000000,0.005971,0.000349,0.005621,1.008637,1.008112
2010-01-08,1.350298,0.960000,0.390298,0.037430,1.441109,0.006499,-1.000000,-0.006499,0.000000,-0.006499,1.002081,1.001560
2010-01-11,1.318838,0.950000,0.368838,-0.021460,1.451126,0.006951,1.000000,0.006951,0.000345,0.006606,1.009047,1.008177
2010-01-12,1.312689,0.920000,0.392689,0.023852,1.447660,-0.002389,-1.000000,0.002389,0.000345,0.002043,1.011457,1.010237
2010-01-13,1.315575,0.970000,0.345575,-0.047115,1.452391,0.003268,1.000000,0.003268,0.000344,0.002923,1.014762,1.013190
2010-01-14,1.303789,0.940000,0.363789,0.018214,1.449990,-0.001653,-1.000000,0.001653,0.000345,0.001308,1.016439,1.014515
2010-01-15,1.261060,0.890000,0.371060,0.007271,1.439097,-0.007512,1.000000,-0.007512,0.000347,-0.007859,1.008804,1.006542
2010-01-18,1.282257,0.890000,0.392257,0.021197,1.440673,0.001095,1.000000,0.001095,0.000000,0.001095,1.009908,1.007644
2010-01-19,1.305395,0.930000,0.375395,-0.016862,1.428102,-0.008726,1.000000,-0.008726,0.000000,-0.008726,1.001096,0.998851
2010-01-20,1.279148,0.920000,0.359148,-0.016247,1.411034,-0.011951,-1.000000,0.011951,0.000354,0.011597,1.013061,1.010435
2010-01-21,1.280030,0.870000,0.410030,0.050881,1.409702,-0.000944,-1.000000,0.000944,0.000000,0.000944,1.014018,1.011390
2010-01-22,1.215070,0.840000,0.375070,-0.034960,1.414107,0.003125,1.000000,0.003125,0.000354,0.002772,1.017186,1.014193
2010-01-25,1.239939,0.860000,0.379939,0.004870,1.415008,0.000637,-1.000000,-0.000637,0.000353,-0.000990,1.016539,1.013188
2010-01-26,1.231759,0.870000,0.361759,-0.018181,1.408232,-0.004788,1.000000,-0.004788,0.000355,-0.005143,1.011671,1.007977
2010-01-27,1.235826,0.900000,0.335826,-0.025933,1.403095,-0.003648,-1.000000,0.003648,0.000356,0.003292,1.015362,1.011295
2010-01-28,1.247513,0.870000,0.377513,0.041687,1.396804,-0.004484,-1.000000,0.004484,0.000000,0.004484,1.019915,1.015830
2010-01-29,1.247836,0.820000,0.427836,0.050323,1.386693,-0.007239,1.000000,-0.007239,0.000361,-0.007599,1.012532,1.008110
2010-02-01,1.258908,0.860000,0.398908,-0.028928,1.392699,0.004331,1.000000,0.004331,0.000000,0.004331,1.016917,1.012477
2010-02-02,1.289538,0.860000,0.429538,0.030630,1.397624,0.003536,-1.000000,-0.003536,0.000358,-0.003894,1.013322,1.008534
2010-02-03,1.303167,0.880000,0.423167,-0.006371,1.390105,-0.005380,1.000000,-0.005380,0.000360,-0.005739,1.007870,1.002746
2010-02-04,1.288194,0.800000,0.488194,0.065027,1.374495,-0.011230,-1.000000,0.011230,0.000364,0.010866,1.019188,1.013642
2010-02-05,1.245853,0.770000,0.475853,-0.012341,1.368008,-0.004720,1.000000,-0.004720,0.000365,-0.005085,1.014378,1.008487
2010-02-08,1.197433,0.790000,0.407433,-0.068420,1.365467,-0.001857,-1.000000,0.001857,0.000366,0.001491,1.016262,1.009991
2010-02-09,1.200920,0.840000,0.360920,-0.046513,1.378208,0.009331,-1.000000,-0.009331,0.000000,-0.009331,1.006780,1.000567
