date,gb_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,gbpusd_close,gbpusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2010-01-05,1.367000,1.076000,0.291000,,1.599079,-0.007628,0.000000,-0.000000,0.000000,-0.000000,1.000000,1.000000
2010-01-06,1.335000,1.016000,0.319000,0.028000,1.602384,0.002067,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-07,1.304000,1.000000,0.304000,-0.015000,1.593397,-0.005609,1.000000,-0.005609,0.000157,-0.005766,0.994391,0.994234
2010-01-08,1.308000,1.028000,0.280000,-0.024000,1.602410,0.005657,-1.000000,-0.005657,0.000312,-0.005969,0.988766,0.988300
2010-01-11,1.223000,1.028000,0.195000,-0.085000,1.611292,0.005543,-1.000000,-0.005543,0.000000,-0.005543,0.983286,0.982822
2010-01-12,1.235000,0.940000,0.295000,0.100000,1.615170,0.002407,-1.000000,-0.002407,0.000000,-0.002407,0.980919,0.980457
2010-01-13,1.264000,0.907000,0.357000,0.062000,1.628611,0.008322,1.000000,0.008322,0.000307,0.008015,0.989083,0.988315
2010-01-14,1.263000,0.964000,0.299000,-0.058000,1.633400,0.002940,1.000000,0.002940,0.000000,0.002940,0.991991,0.991221
2010-01-15,1.255000,0.923000,0.332000,0.033000,1.626995,-0.003921,-1.000000,0.003921,0.000307,0.003614,0.995881,0.994803
2010-01-18,1.249000,0.923000,0.326000,-0.006000,1.635296,0.005102,1.000000,0.005102,0.000306,0.004796,1.000962,0.999575
2010-01-19,1.334000,0.923000,0.411000,0.085000,1.635671,0.000229,-1.000000,-0.000229,0.000306,-0.000535,1.000733,0.999041
2010-01-20,1.367000,0.886000,0.481000,0.070000,1.629806,-0.003586,1.000000,-0.003586,0.000307,-0.003892,0.997145,0.995152
2010-01-21,1.277000,0.882000,0.395000,-0.086000,1.620509,-0.005704,1.000000,-0.005704,0.000000,-0.005704,0.991457,0.989475
2010-01-22,1.271000,0.833000,0.438000,0.043000,1.611006,-0.005864,-1.000000,0.005864,0.000310,0.005554,0.997271,0.994971
2010-01-25,1.275000,0.833000,0.442000,0.004000,1.625012,0.008694,1.000000,0.008694,0.000308,0.008386,1.005941,1.003314
2010-01-26,1.231000,0.816000,0.415000,-0.027000,1.614700,-0.006346,1.000000,-0.006346,0.000000,-0.006346,0.999557,0.996948
2010-01-27,1.271000,0.811000,0.460000,0.045000,1.617809,0.001925,-1.000000,-0.001925,0.000309,-0.002234,0.997633,0.994720
2010-01-28,1.324000,0.915000,0.409000,-0.051000,1.614309,-0.002163,1.000000,-0.002163,0.000310,-0.002473,0.995475,0.992260
2010-01-29,1.311000,0.863000,0.448000,0.039000,1.598491,-0.009799,-1.000000,0.009799,0.000313,0.009486,1.005229,1.001673
2010-02-01,1.264000,0.863000,0.401000,-0.047000,1.595253,-0.002026,1.000000,-0.002026,0.000313,-0.002339,1.003193,0.999330
2010-02-02,1.275000,0.855000,0.420000,0.019000,1.599207,0.002479,-1.000000,-0.002479,0.000313,-0.002791,1.000706,0.996540
2010-02-03,1.239000,0.855000,0.384000,-0.036000,1.592002,-0.004505,1.000000,-0.004505,0.000314,-0.004819,0.996197,0.991737
2010-02-04,1.213000,0.883000,0.330000,-0.054000,1.576989,-0.009430,-1.000000,0.009430,0.000317,0.009113,1.005592,1.000775
2010-02-05,1.175000,0.807000,0.368000,0.038000,1.565803,-0.007093,-1.000000,0.007093,0.000000,0.007093,1.012725,1.007874
2010-02-08,1.269000,0.807000,0.462000,0.094000,1.557608,-0.005233,1.000000,-0.005233,0.000321,-0.005554,1.007425,1.002276
2010-02-09,1.293000,0.763000,0.530000,0.068000,1.569391,0.007564,1.000000,0.007564,0.000000,0.007564,1.015045,1.009858
