date,us_2y_pct,ca_2y_pct,rate_diff_pp,d_diff_pp,usdcad_close,usdcad_return,position,gross_return,cost,net_return,cum_gross,cum_net
2010-01-05,1.076000,1.384000,-0.308000,,1.039500,-0.001441,0.000000,-0.000000,0.000000,-0.000000,1.000000,1.000000
2010-01-06,1.016000,1.387000,-0.371000,-0.063000,1.031900,-0.007311,0.000000,-0.000000,0.000000,-0.000000,1.000000,1.000000
2010-01-07,1.000000,1.384000,-0.384000,-0.013000,1.034000,0.002035,-1.000000,-0.002035,0.000242,-0.002277,0.997965,0.997723
2010-01-08,1.028000,1.309000,-0.281000,0.103000,1.029800,-0.004062,-1.000000,0.004062,0.000000,0.004062,1.002019,1.001776
2010-01-11,1.028000,1.293000,-0.265000,0.016000,1.033800,0.003884,1.000000,0.003884,0.000484,0.003401,1.005911,1.005182
2010-01-12,0.940000,1.288000,-0.348000,-0.083000,1.039200,0.005223,1.000000,0.005223,0.000000,0.005223,1.011165,1.010433
2010-01-13,0.907000,1.288000,-0.381000,-0.033000,1.030800,-0.008083,-1.000000,0.008083,0.000485,0.007598,1.019338,1.018110
2010-01-14,0.964000,1.321000,-0.357000,0.024000,1.023400,-0.007179,-1.000000,0.007179,0.000000,0.007179,1.026656,1.025419
2010-01-15,0.923000,1.277000,-0.354000,0.003000,1.029000,0.005472,1.000000,0.005472,0.000486,0.004986,1.032274,1.030532
2010-01-18,0.923000,1.272000,-0.349000,0.005000,1.024800,-0.004082,1.000000,-0.004082,0.000000,-0.004082,1.028060,1.026326
2010-01-19,0.923000,1.261000,-0.338000,0.011000,1.031700,0.006733,1.000000,0.006733,0.000000,0.006733,1.034982,1.033236
2010-01-20,0.886000,1.206000,-0.320000,0.018000,1.045200,0.013085,1.000000,0.013085,0.000000,0.013085,1.048525,1.046756
2010-01-21,0.882000,1.184000,-0.302000,0.018000,1.050600,0.005167,1.000000,0.005167,0.000000,0.005167,1.053943,1.052164
2010-01-22,0.833000,1.190000,-0.357000,-0.055000,1.057400,0.006472,1.000000,0.006472,0.000000,0.006472,1.060764,1.058974
2010-01-25,0.833000,1.184000,-0.351000,0.006000,1.056900,-0.000473,-1.000000,0.000473,0.000473,-0.000000,1.061266,1.058974
2010-01-26,0.816000,1.168000,-0.352000,-0.001000,1.062100,0.004920,1.000000,0.004920,0.000471,0.004449,1.066487,1.063686
2010-01-27,0.811000,1.228000,-0.417000,-0.065000,1.063600,0.001412,-1.000000,-0.001412,0.000470,-0.001882,1.064981,1.061683
2010-01-28,0.915000,1.348000,-0.433000,-0.016000,1.066100,0.002351,-1.000000,-0.002351,0.000000,-0.002351,1.062478,1.059188
2010-01-29,0.863000,1.333000,-0.470000,-0.037000,1.070000,0.003658,-1.000000,-0.003658,0.000000,-0.003658,1.058591,1.055313
2010-02-01,0.863000,1.347000,-0.484000,-0.014000,1.061700,-0.007757,-1.000000,0.007757,0.000000,0.007757,1.066803,1.063499
2010-02-02,0.855000,1.286000,-0.431000,0.053000,1.057180,-0.004257,-1.000000,0.004257,0.000000,0.004257,1.071344,1.068027
2010-02-03,0.855000,1.349000,-0.494000,-0.063000,1.061800,0.004370,1.000000,0.004370,0.000471,0.003899,1.076026,1.072191
2010-02-04,0.883000,1.285000,-0.402000,0.092000,1.072000,0.009606,-1.000000,-0.009606,0.000466,-0.010073,1.065689,1.061391
2010-02-05,0.807000,1.255000,-0.448000,-0.046000,1.070900,-0.001026,1.000000,-0.001026,0.000467,-0.001493,1.064596,1.059807
2010-02-08,0.807000,1.247000,-0.440000,0.008000,1.074580,0.003436,-1.000000,-0.003436,0.000465,-0.003902,1.060938,1.055672
2010-02-09,0.763000,1.281000,-0.518000,-0.078000,1.067200,-0.006868,1.000000,-0.006868,0.000469,-0.007336,1.053651,1.047927
2010-02-10,0.827000,1.343000,-0.516000,0.002000,1.062000,-0.004872,-1.000000,0.004872,0.000471,0.004402,1.058785,1.052539
