date,gross_return,cost,net_return,cum_gross,cum_net,weight_EURUSD,weight_GBPUSD,weight_AUDUSD,weight_USDCAD
2010-02-16,-0.001663,0.000000,-0.001663,0.998337,0.998337,0.069425,0.300000,-0.300000,0.145386
2010-02-17,-0.001660,0.000280,-0.001940,0.996680,0.996400,0.300000,-0.300000,0.195341,0.126893
2010-02-18,-0.009832,0.000236,-0.010069,0.986880,0.986368,0.187157,0.220210,0.300000,-0.300000
2010-02-19,-0.005281,0.000376,-0.005657,0.981669,0.980788,-0.017585,-0.300000,-0.095513,0.300000
2010-02-22,0.000641,0.000084,0.000557,0.982298,0.981334,-0.300000,-0.300000,0.021316,0.300000
2010-02-23,0.002011,0.000133,0.001878,0.984274,0.983178,0.050401,-0.300000,0.264191,0.300000
2010-02-24,-0.000349,0.000246,-0.000595,0.983930,0.982592,-0.300000,0.300000,0.291804,-0.021037
2010-02-25,-0.004833,0.000275,-0.005108,0.979175,0.977573,0.300000,0.215164,-0.009091,-0.300000
2010-02-26,-0.004102,0.000335,-0.004437,0.975158,0.973235,-0.246751,-0.300000,0.018163,0.300000
2010-03-01,-0.002491,0.000345,-0.002836,0.972729,0.970476,0.300000,0.216056,-0.032219,-0.300000
2010-03-02,0.003437,0.000164,0.003273,0.976073,0.973652,-0.141820,0.300000,0.216434,-0.300000
2010-03-03,0.003740,0.000082,0.003658,0.979723,0.977214,0.237597,0.300000,0.169843,-0.300000
2010-03-04,-0.002704,0.000059,-0.002763,0.977073,0.974514,0.185020,0.300000,-0.006668,-0.300000
2010-03-05,-0.002397,0.000306,-0.002703,0.974731,0.971879,-0.065485,-0.300000,0.049794,0.300000
2010-03-08,0.001792,0.000067,0.001725,0.976478,0.973556,-0.300000,-0.300000,-0.036246,0.300000
2010-03-09,0.002874,0.000297,0.002578,0.979285,0.976065,-0.222397,-0.032753,0.300000,-0.300000
2010-03-10,-0.000137,0.000312,-0.000449,0.979150,0.975627,-0.300000,-0.300000,-0.090678,0.300000
2010-03-11,-0.000015,0.000363,-0.000378,0.979136,0.975259,0.300000,-0.300000,0.300000,-0.300000
2010-03-12,-0.006289,0.000256,-0.006546,0.972978,0.968875,-0.300000,-0.300000,0.300000,0.300000
2010-03-15,0.002409,0.000142,0.002267,0.975321,0.971071,0.105419,-0.300000,0.052530,0.300000
2010-03-16,-0.006137,0.000091,-0.006227,0.969336,0.965024,-0.300000,-0.244318,0.081415,0.300000
2010-03-17,-0.000128,0.000192,-0.000320,0.969212,0.964715,-0.300000,0.300000,-0.300000,0.300000
2010-03-18,-0.002809,0.000362,-0.003170,0.966490,0.961657,-0.022714,0.300000,0.300000,-0.300000
2010-03-19,0.000690,0.000348,0.000342,0.967157,0.961986,0.008779,0.114379,-0.300000,0.300000
2010-03-22,-0.002745,0.000140,-0.002885,0.964502,0.959211,-0.300000,-0.264662,-0.226231,0.300000
2010-03-23,-0.000125,0.000394,-0.000518,0.964382,0.958713,-0.064665,0.089951,0.300000,-0.300000
2010-03-24,0.005613,0.000256,0.005357,0.969795,0.963849,-0.300000,-0.300000,0.300000,0.300000
2010-03-25,-0.002148,0.000320,-0.002469,0.967711,0.961470,0.194018,0.180518,0.300000,-0.300000
2010-03-26,-0.000961,0.000465,-0.001426,0.966781,0.960098,-0.242873,-0.300000,-0.268319,0.300000
2010-03-29,0.000320,0.000346,-0.000025,0.967091,0.960074,0.241860,0.300000,-0.300000,-0.300000
2010-03-30,0.000742,0.000243,0.000499,0.967809,0.960554,0.102278,-0.022667,0.300000,-0.300000
2010-03-31,0.002128,0.000046,0.002081,0.969868,0.962553,0.300000,0.036913,0.300000,-0.300000
2010-04-01,-0.004967,0.000428,-0.005395,0.965051,0.957360,-0.300000,0.074929,-0.300000,0.300000
2010-04-02,-0.003428,0.000388,-0.003816,0.961743,0.953707,0.300000,0.186463,0.106678,-0.300000
2010-04-05,-0.003516,0.000430,-0.003946,0.958362,0.949943,-0.300000,-0.171030,-0.300000,0.300000
2010-04-06,0.000186,0.000491,-0.000305,0.958540,0.949653,0.300000,0.242853,0.300000,-0.300000
2010-04-07,0.002843,0.000457,0.002386,0.961265,0.951919,-0.300000,-0.298642,-0.095301,0.300000
2010-04-08,-0.001373,0.000107,-0.001479,0.959945,0.950511,-0.300000,-0.300000,0.300000,0.300000
2010-04-09,0.005757,0.000351,0.005407,0.965472,0.955650,0.300000,0.251730,0.300000,-0.300000
2010-04-12,0.004387,0.000395,0.003992,0.969708,0.959465,0.300000,-0.263784,-0.300000,0.300000
2010-04-13,0.000534,0.000285,0.000249,0.970226,0.959704,0.300000,0.300000,-0.138875,-0.300000
2010-04-14,0.004032,0.000044,0.003988,0.974138,0.963532,0.300000,0.300000,0.025043,-0.300000
2010-04-15,0.000282,0.000142,0.000141,0.974413,0.963667,-0.300000,0.300000,0.142323,-0.300000
2010-04-16,0.001127,0.000226,0.000901,0.975511,0.964536,-0.300000,0.083585,0.300000,0.300000
2010-04-19,0.000573,0.000295,0.000278,0.976071,0.964804,0.156751,-0.300000,-0.246968,0.300000
2010-04-20,-0.005325,0.000186,-0.005511,0.970873,0.959488,-0.239022,0.300000,-0.300000,0.300000
2010-04-21,-0.001742,0.000419,-0.002162,0.969181,0.957414,0.261677,0.214861,0.300000,-0.300000
2010-04-22,0.000558,0.000120,0.000438,0.969722,0.957833,-0.300000,0.300000,0.300000,-0.300000
2010-04-23,-0.000498,0.000300,-0.000798,0.969239,0.957068,0.011089,0.300000,-0.300000,0.020875
2010-04-26,0.001820,0.000107,0.001712,0.971002,0.958707,-0.189519,0.300000,-0.300000,0.300000
2010-04-27,0.010452,0.000283,0.010169,0.981151,0.968456,-0.300000,-0.300000,0.300000,0.300000
2010-04-28,0.000098,0.000025,0.000073,0.981247,0.968527,-0.296540,-0.300000,0.210274,0.300000
2010-04-29,0.005517,0.000413,0.005104,0.986661,0.973471,0.241525,0.300000,-0.030578,-0.300000
2010-04-30,0.006676,0.000383,0.006293,0.993248,0.979597,-0.139931,-0.300000,-0.273470,0.300000
2010-05-03,0.000193,0.000164,0.000029,0.993440,0.979625,-0.088134,-0.300000,0.300000,0.300000
2010-05-04,-0.010340,0.000196,-0.010536,0.983168,0.969304,0.168246,-0.300000,0.300000,-0.299996
2010-05-05,0.004705,0.000257,0.004449,0.987794,0.973616,-0.300000,-0.213624,0.280147,0.300000
2010-05-06,-0.006058,0.000269,-0.006327,0.981810,0.967456,-0.300000,0.300000,0.062726,-0.209590
2010-05-07,0.001089,0.000119,0.000971,0.982879,0.968395,0.022184,0.300000,-0.057004,-0.300000
2010-05-10,-0.000861,0.000174,-0.001034,0.982033,0.967393,0.300000,0.240583,-0.300000,-0.128096
2010-05-11,0.000159,0.000291,-0.000132,0.982189,0.967265,-0.061619,0.300000,0.300000,-0.300000
2010-05-12,0.000782,0.000382,0.000400,0.982958,0.967653,-0.023442,-0.300000,-0.151271,0.300000
2010-05-13,-0.006765,0.000367,-0.007132,0.976308,0.960751,0.300000,0.246035,0.071278,-0.300000
2010-05-14,0.007814,0.000398,0.007416,0.983937,0.967876,-0.300000,-0.300000,0.206311,0.300000
2010-05-17,0.003073,0.000232,0.002841,0.986960,0.970626,0.300000,-0.300000,-0.178092,0.294999
2010-05-18,-0.000235,0.000154,-0.000389,0.986729,0.970249,0.300000,0.079515,-0.300000,0.076773
2010-05-19,0.001857,0.000190,0.001667,0.988561,0.971866,-0.300000,0.166039,-0.300000,0.300000
2010-05-20,0.001194,0.000290,0.000904,0.989741,0.972745,0.216098,0.300000,-0.225045,-0.300000
2010-05-21,-0.007050,0.000368,-0.007418,0.982763,0.965529,-0.066425,-0.300000,-0.004748,0.300000
2010-05-24,-0.003014,0.000285,-0.003298,0.979802,0.962345,0.046929,0.300000,-0.058996,-0.300000
2010-05-25,-0.001604,0.000166,-0.001770,0.978230,0.960641,0.281055,0.300000,-0.300000,-0.103493
2010-05-26,0.002565,0.000354,0.002211,0.980739,0.962765,-0.084246,-0.300000,-0.035522,0.300000
2010-05-27,-0.011792,0.000207,-0.011999,0.969174,0.951213,-0.285129,0.300000,-0.235856,0.283348
2010-05-28,0.004242,0.000240,0.004003,0.973286,0.955021,-0.135192,-0.300000,0.107511,0.300000
2010-05-31,-0.003369,0.000085,-0.003454,0.970007,0.951723,-0.112860,-0.300000,0.257981,0.151626
2010-06-01,0.000047,0.000399,-0.000352,0.970052,0.951387,0.300000,0.300000,-0.092672,-0.300000
2010-06-02,-0.005430,0.000334,-0.005764,0.964785,0.945904,-0.232484,-0.133383,-0.115903,0.300000
2010-06-03,-0.001762,0.000348,-0.002111,0.963084,0.943907,0.186523,0.300000,0.032357,-0.300000
2010-06-04,0.009145,0.000375,0.008769,0.971892,0.952185,-0.232008,-0.300000,0.182325,0.289558
2010-06-07,-0.000739,0.000078,-0.000816,0.971174,0.951407,-0.114369,-0.300000,0.018637,0.300000
2010-06-08,-0.006806,0.000264,-0.007070,0.964563,0.944681,0.223199,0.115529,-0.300000,0.195952
2010-06-09,0.003951,0.000299,0.003652,0.968374,0.948130,0.088121,0.300000,0.100697,-0.300000
2010-06-10,0.002115,0.000193,0.001922,0.970422,0.949952,0.300000,-0.222523,-0.058998,-0.243502
2010-06-11,-0.003093,0.000206,-0.003300,0.967421,0.946818,0.071842,0.300000,0.130016,-0.300000
2010-06-14,-0.005154,0.000334,-0.005488,0.962435,0.941622,-0.225258,-0.300000,0.039421,0.300000
2010-06-15,0.002977,0.000343,0.002634,0.965300,0.944102,0.028445,0.300000,-0.112087,-0.300000
2010-06-16,-0.000218,0.000148,-0.000366,0.965089,0.943757,0.300000,0.033927,0.051294,-0.300000
2010-06-17,-0.001793,0.000338,-0.002131,0.963358,0.941745,-0.300000,-0.300000,0.102373,0.300000
2010-06-18,-0.001660,0.000275,-0.001935,0.961759,0.939923,0.300000,-0.271559,-0.223266,0.072902
2010-06-21,-0.004026,0.000242,-0.004267,0.957887,0.935912,0.300000,0.300000,-0.035286,-0.300000
2010-06-22,-0.003588,0.000253,-0.003841,0.954450,0.932317,0.272680,-0.300000,0.267961,-0.056669
2010-06-23,-0.000877,0.000313,-0.001189,0.953613,0.931208,-0.280197,-0.277412,-0.119907,0.300000
2010-06-24,0.002580,0.000281,0.002299,0.956073,0.933349,0.196286,0.300000,-0.300000,0.151193
2010-06-25,-0.003659,0.000399,-0.004058,0.952575,0.929562,-0.300000,-0.300000,0.269769,0.300000
2010-06-28,-0.000981,0.000320,-0.001301,0.951640,0.928353,0.300000,-0.285515,-0.300000,0.170356
2010-06-29,0.009518,0.000223,0.009295,0.960698,0.936981,-0.242982,0.300000,-0.300000,0.109854
2010-06-30,0.002527,0.000049,0.002478,0.963125,0.939303,-0.224367,0.300000,-0.300000,0.300000
2010-07-01,0.005509,0.000417,0.005093,0.968431,0.944087,0.300000,-0.169050,0.014881,-0.300000
2010-07-02,0.001565,0.000133,0.001432,0.969947,0.945439,0.300000,-0.300000,-0.187200,-0.081444
2010-07-05,-0.000286,0.000381,-0.000667,0.969670,0.944808,-0.300000,0.285670,0.080826,0.280068
2010-07-06,-0.003914,0.000047,-0.003961,0.965874,0.941065,-0.300000,0.029659,0.079551,0.300000
2010-07-07,0.002438,0.000317,0.002121,0.968229,0.943061,0.300000,-0.300000,0.082495,-0.300000
