date,gross_return,cost,net_return,cum_gross,cum_net,weight_EURUSD,weight_GBPUSD,weight_AUDUSD,weight_USDCAD
2010-02-16,-0.001663,0.000000,-0.001663,0.998337,0.998337,0.069425,0.300000,-0.300000,0.145386
2010-02-17,-0.001660,0.000280,-0.001940,0.996680,0.996400,0.300000,-0.300000,0.195341,0.126893
2010-02-18,-0.009832,0.000236,-0.010069,0.986880,0.986368,0.187157,0.220210,0.300000,-0.300000
2010-02-19,-0.005281,0.000376,-0.005657,0.981669,0.980788,-0.017585,-0.300000,-0.095513,0.300000
2010-02-22,0.000641,0.000084,0.000557,0.982298,0.981334,-0.300000,-0.300000,0.021316,0.300000
2010-02-23,0.002011,0.000133,0.001878,0.984274,0.983178,0.050401,-0.300000,0.264191,0.300000
2010-02-24,-0.000349,0.000246,-0.000595,0.983930,0.982592,-0.300000,0.300000,0.291804,-0.021037
2010-02-25,-0.004833,0.000275,-0.005108,0.979175,0.977573,0.300000,0.215164,-0.009091,-0.300000
2010-02-26,-0.004102,0.000335,-0.004437,0.975158,0.973235,-0.246751,-0.300000,0.018163,0.300000
2010-03-01,-0.002491,0.000345,-0.002836,0.972729,0.970476,0.300000,0.216056,-0.032219,-0.300000
2010-03-02,0.003437,0.000164,0.003273,0.976073,0.973652,-0.141820,0.300000,0.216434,-0.300000
2010-03-03,0.003740,0.000082,0.003658,0.979723,0.977214,0.237597,0.300000,0.169843,-0.300000
2010-03-04,-0.002704,0.000059,-0.002763,0.977073,0.974514,0.185020,0.300000,-0.006668,-0.300000
2010-03-05,-0.002397,0.000306,-0.002703,0.974731,0.971879,-0.065485,-0.300000,0.049794,0.300000
2010-03-08,0.001792,0.000067,0.001725,0.976478,0.973556,-0.300000,-0.300000,-0.036246,0.300000
2010-03-09,0.002874,0.000297,0.002578,0.979285,0.976065,-0.222397,-0.032753,0.300000,-0.300000
2010-03-10,-0.000137,0.000312,-0.000449,0.979150,0.975627,-0.300000,-0.300000,-0.090678,0.300000
2010-03-11,-0.000015,0.000363,-0.000378,0.979136,0.975259,0.300000,-0.300000,0.300000,-0.300000
2010-03-12,-0.006289,0.000256,-0.006546,0.972978,0.968875,-0.300000,-0.300000,0.300000,0.300000
2010-03-15,0.002409,0.000142,0.002267,0.975321,0.971071,0.105419,-0.300000,0.052530,0.300000
2010-03-16,-0.006137,0.000091,-0.006227,0.969336,0.965024,-0.300000,-0.244318,0.081415,0.300000
2010-03-17,-0.000218,0.000374,-0.000592,0.969125,0.964453,-0.510673,0.510673,-0.510673,0.510673
2010-03-18,-0.004883,0.000623,-0.005506,0.964392,0.959142,-0.039491,0.521587,0.521587,-0.521587
2010-03-19,0.001223,0.000610,0.000614,0.965572,0.959731,0.015558,0.202703,-0.531664,0.531664
2010-03-22,-0.004939,0.000251,-0.005190,0.960803,0.954750,-0.539775,-0.476194,-0.407046,0.539775
2010-03-23,-0.000229,0.000714,-0.000942,0.960583,0.953850,-0.118523,0.164867,0.549859,-0.549859
2010-03-24,0.010478,0.000478,0.009999,0.970648,0.963388,-0.559964,-0.559964,0.559964,0.559964
2010-03-25,-0.003790,0.000592,-0.004382,0.966969,0.959167,0.342253,0.318439,0.529209,-0.529209
2010-03-26,-0.001725,0.000828,-0.002553,0.965301,0.956718,-0.435815,-0.538323,-0.481474,0.538323
2010-03-29,0.000586,0.000628,-0.000043,0.965867,0.956678,0.441959,0.548201,-0.548201,-0.548201
2010-03-30,0.001377,0.000447,0.000929,0.967196,0.957566,0.189686,-0.042039,0.556384,-0.556384
2010-03-31,0.003994,0.000091,0.003903,0.971059,0.961303,0.563112,0.069287,0.563112,-0.563112
2010-04-01,-0.009326,0.000804,-0.010130,0.962003,0.951565,-0.563306,0.140692,-0.563306,0.563306
2010-04-02,-0.006384,0.000726,-0.007110,0.955862,0.944800,0.558733,0.347277,0.198682,-0.558733
2010-04-05,-0.006596,0.000804,-0.007399,0.949557,0.937809,-0.562746,-0.320821,-0.562746,0.562746
2010-04-06,0.000351,0.000924,-0.000574,0.949890,0.937271,0.566391,0.458499,0.566391,-0.566391
2010-04-07,0.005436,0.000868,0.004568,0.955054,0.941552,-0.573677,-0.571080,-0.182240,0.573677
2010-04-08,-0.002614,0.000204,-0.002817,0.952558,0.938900,-0.571267,-0.571267,0.571267,0.571267
2010-04-09,0.011114,0.000674,0.010440,0.963145,0.948702,0.579130,0.485949,0.579130,-0.579130
2010-04-12,0.008139,0.000752,0.007387,0.970984,0.955709,0.556508,-0.489327,-0.556508,0.556508
2010-04-13,0.000975,0.000528,0.000448,0.971931,0.956137,0.547856,0.547856,-0.253612,-0.547856
2010-04-14,0.007444,0.000084,0.007360,0.979166,0.963175,0.553886,0.553886,0.046237,-0.553886
2010-04-15,0.000515,0.000263,0.000252,0.979670,0.963417,-0.546707,0.546707,0.259364,-0.546707
2010-04-16,0.002077,0.000416,0.001661,0.981705,0.965018,-0.552762,0.154008,0.552762,0.552762
2010-04-19,0.001066,0.000547,0.000519,0.982751,0.965519,0.291345,-0.557595,-0.459027,0.557595
2010-04-20,-0.010000,0.000350,-0.010350,0.972923,0.955526,-0.448865,0.563376,-0.563376,0.563376
2010-04-21,-0.003239,0.000784,-0.004022,0.969772,0.951682,0.486370,0.399356,0.557601,-0.557601
2010-04-22,0.001046,0.000227,0.000819,0.970787,0.952462,-0.562905,0.562905,0.562905,-0.562905
2010-04-23,-0.000943,0.000565,-0.001508,0.969872,0.951025,0.020995,0.568003,-0.568003,0.039524
2010-04-26,0.003481,0.000208,0.003274,0.973248,0.954139,-0.362618,0.574009,-0.574009,0.574009
2010-04-27,0.020078,0.000543,0.019535,0.992789,0.972778,-0.576294,-0.576294,0.576294,0.576294
2010-04-28,0.000171,0.000088,0.000084,0.992959,0.972859,-0.519819,-0.525884,0.368599,0.525884
2010-04-29,0.009764,0.000727,0.009037,1.002655,0.981651,0.427438,0.530923,-0.054116,-0.530923
2010-04-30,0.011645,0.000672,0.010973,1.014331,0.992422,-0.244083,-0.523294,-0.477017,0.523294
2010-05-03,0.000329,0.000289,0.000040,1.014665,0.992462,-0.150267,-0.511495,0.511495,0.511495
2010-05-04,-0.017793,0.000338,-0.018131,0.996611,0.974468,0.289517,-0.516240,0.516240,-0.516234
2010-05-05,0.007652,0.000440,0.007212,1.004237,0.981496,-0.487891,-0.347418,0.455604,0.487891
2010-05-06,-0.009797,0.000437,-0.010234,0.994399,0.971452,-0.485145,0.485145,0.101438,-0.338938
2010-05-07,0.001743,0.000191,0.001552,0.996132,0.972960,0.035494,0.480001,-0.091207,-0.480001
2010-05-10,-0.001387,0.000279,-0.001666,0.994750,0.971339,0.483562,0.387789,-0.483562,-0.206474
2010-05-11,0.000258,0.000472,-0.000214,0.995007,0.971131,-0.100160,0.487645,0.487645,-0.487645
2010-05-12,0.001282,0.000623,0.000659,0.996283,0.971771,-0.038422,-0.491714,-0.247940,0.491714
2010-05-13,-0.011175,0.000604,-0.011779,0.985149,0.960325,0.495553,0.406411,0.117740,-0.495553
2010-05-14,0.012708,0.000652,0.012057,0.997669,0.971903,-0.487917,-0.487917,0.335543,0.487917
2010-05-17,0.004839,0.000378,0.004461,1.002496,0.976239,0.472350,-0.472350,-0.280406,0.464476
2010-05-18,-0.000368,0.000243,-0.000610,1.002128,0.975643,0.470323,0.124658,-0.470323,0.120361
2010-05-19,0.003059,0.000317,0.002742,1.005194,0.978319,-0.494316,0.273587,-0.494316,0.494316
2010-05-20,0.001996,0.000480,0.001517,1.007200,0.979802,0.361360,0.501662,-0.376322,-0.501662
2010-05-21,-0.011786,0.000615,-0.012400,0.995330,0.967652,-0.111038,-0.501491,-0.007937,0.501491
2010-05-24,-0.004907,0.000469,-0.005376,0.990446,0.962450,0.076407,0.488445,-0.096054,-0.488445
2010-05-25,-0.002599,0.000270,-0.002869,0.987872,0.959689,0.455422,0.486121,-0.486121,-0.167700
2010-05-26,0.004203,0.000575,0.003628,0.992024,0.963171,-0.138066,-0.491656,-0.058215,0.491656
2010-05-27,-0.019452,0.000340,-0.019792,0.972728,0.944108,-0.470353,0.494884,-0.389071,0.467416
2010-05-28,0.006539,0.000384,0.006155,0.979088,0.949919,-0.208367,-0.462382,0.165704,0.462382
2010-05-31,-0.005178,0.000130,-0.005309,0.974018,0.944876,-0.173467,-0.461103,0.396519,0.233050
2010-06-01,0.000072,0.000614,-0.000542,0.974088,0.944363,0.462548,0.462548,-0.142885,-0.462548
2010-06-02,-0.008395,0.000516,-0.008910,0.965911,0.935948,-0.359427,-0.206214,-0.179189,0.463810
2010-06-03,-0.002694,0.000535,-0.003230,0.963309,0.932926,0.285137,0.458608,0.049463,-0.458608
2010-06-04,0.013993,0.000574,0.013418,0.976788,0.945444,-0.355004,-0.459042,0.278983,0.443064
2010-06-07,-0.001092,0.000119,-0.001211,0.975722,0.944299,-0.169025,-0.443365,0.027543,0.443365
2010-06-08,-0.010058,0.000390,-0.010448,0.965907,0.934433,0.329835,0.170725,-0.443330,0.289572
2010-06-09,0.005728,0.000439,0.005289,0.971440,0.939376,0.127757,0.434935,0.145989,-0.434935
2010-06-10,0.003094,0.000281,0.002813,0.974446,0.942018,0.438897,-0.325550,-0.086314,-0.356241
2010-06-11,-0.004529,0.000302,-0.004831,0.970033,0.937468,0.105181,0.439218,0.190352,-0.439218
2010-06-14,-0.007632,0.000492,-0.008124,0.962629,0.929852,-0.333596,-0.444286,0.058381,0.444286
2010-06-15,0.004357,0.000505,0.003852,0.966824,0.933434,0.041635,0.439119,-0.164065,-0.439119
2010-06-16,-0.000319,0.000216,-0.000535,0.966515,0.932934,0.438983,0.049644,0.075057,-0.438983
2010-06-17,-0.002625,0.000495,-0.003119,0.963978,0.930024,-0.439058,-0.439058,0.149826,0.439058
2010-06-18,-0.002433,0.000402,-0.002835,0.961633,0.927387,0.439699,-0.398014,-0.327233,0.106850
2010-06-21,-0.005894,0.000354,-0.006248,0.955965,0.921593,0.439193,0.439193,-0.051657,-0.439193
2010-06-22,-0.005295,0.000371,-0.005665,0.950904,0.916372,0.402334,-0.442644,0.395371,-0.083614
2010-06-23,-0.001289,0.000461,-0.001750,0.949678,0.914768,-0.412083,-0.407987,-0.176346,0.441207
2010-06-24,0.003795,0.000413,0.003382,0.953281,0.917862,0.288726,0.441283,-0.441283,0.222397
2010-06-25,-0.005365,0.000585,-0.005950,0.948167,0.912400,-0.439852,-0.439852,0.395528,0.439852
2010-06-28,-0.001431,0.000468,-0.001899,0.946810,0.910667,0.437586,-0.416457,-0.437586,0.248484
2010-06-29,0.013920,0.000326,0.013594,0.959990,0.923047,-0.355385,0.438779,-0.438779,0.160672
2010-06-30,0.003588,0.000076,0.003512,0.963434,0.926289,-0.318546,0.425927,-0.425927,0.425927
2010-07-01,0.007838,0.000592,0.007245,0.970985,0.933000,0.426779,-0.240490,0.021170,-0.426779
2010-07-02,0.002214,0.000189,0.002025,0.973135,0.934890,0.424471,-0.424471,-0.264869,-0.115236
2010-07-05,-0.000404,0.000539,-0.000944,0.972742,0.934008,-0.424088,0.403831,0.114259,0.395913
2010-07-06,-0.005546,0.000067,-0.005613,0.967347,0.928765,-0.425085,0.042026,0.112720,0.425085
2010-07-07,0.003436,0.000448,0.002989,0.970671,0.931540,0.422871,-0.422871,0.116283,-0.422871
