pair,entry,exit,bars_held,trade_ret
GBPUSD,2023-08-18,2023-09-29,30,0.04349864666804559
GBPUSD,2023-10-02,2023-10-12,8,-0.010131333123589714
GBPUSD,2024-07-31,2024-08-19,13,-0.008712497229930838
GBPUSD,2024-10-07,2024-11-18,30,0.039115661769392185
NZDUSD,2023-03-03,2023-03-15,8,-0.0017030944396134728
NZDUSD,2023-08-04,2023-09-15,30,0.029131496413735136
NZDUSD,2024-07-05,2024-07-09,2,-0.002919679463447178
NZDUSD,2024-07-26,2024-08-12,11,-0.017758954323880416
USDJPY,2015-06-29,2015-07-15,12,-0.005982278196634105
USDCAD,2024-08-16,2024-09-12,19,0.011285171456906107
