date,gross_return,cost,net_return,cum_gross,cum_net,weight_EURUSD,weight_GBPUSD,weight_AUDUSD,weight_USDCAD
2010-02-16,-0.001663,0.000000,-0.001663,0.998337,0.998337,0.069425,0.300000,-0.300000,0.145386
2010-02-17,-0.001660,0.000280,-0.001940,0.996680,0.996400,0.300000,-0.300000,0.195341,0.126893
2010-02-18,-0.009832,0.000236,-0.010069,0.986880,0.986368,0.187157,0.220210,0.300000,-0.300000
2010-02-19,-0.005281,0.000376,-0.005657,0.981669,0.980788,-0.017585,-0.300000,-0.095513,0.300000
2010-02-22,0.000641,0.000084,0.000557,0.982298,0.981334,-0.300000,-0.300000,0.021316,0.300000
2010-02-23,0.002011,0.000133,0.001878,0.984274,0.983178,0.050401,-0.300000,0.264191,0.300000
2010-02-24,-0.000349,0.000246,-0.000595,0.983930,0.982592,-0.300000,0.300000,0.291804,-0.021037
2010-02-25,-0.004833,0.000275,-0.005108,0.979175,0.977573,0.300000,0.215164,-0.009091,-0.300000
2010-02-26,-0.004102,0.000335,-0.004437,0.975158,0.973235,-0.246751,-0.300000,0.018163,0.300000
2010-03-01,-0.002491,0.000345,-0.002836,0.972729,0.970476,0.300000,0.216056,-0.032219,-0.300000
2010-03-02,0.003437,0.000164,0.003273,0.976073,0.973652,-0.141820,0.300000,0.216434,-0.300000
2010-03-03,0.003740,0.000082,0.003658,0.979723,0.977214,0.237597,0.300000,0.169843,-0.300000
2010-03-04,-0.002704,0.000059,-0.002763,0.977073,0.974514,0.185020,0.300000,-0.006668,-0.300000
2010-03-05,-0.002397,0.000306,-0.002703,0.974731,0.971879,-0.065485,-0.300000,0.049794,0.300000
2010-03-08,0.001792,0.000067,0.001725,0.976478,0.973556,-0.300000,-0.300000,-0.036246,0.300000
2010-03-09,0.002874,0.000297,0.002578,0.979285,0.976065,-0.222397,-0.032753,0.300000,-0.300000
2010-03-10,-0.000137,0.000312,-0.000449,0.979150,0.975627,-0.300000,-0.300000,-0.090678,0.300000
2010-03-11,-0.000015,0.000363,-0.000378,0.979136,0.975259,0.300000,-0.300000,0.300000,-0.300000
2010-03-12,-0.006289,0.000256,-0.006546,0.972978,0.968875,-0.300000,-0.300000,0.300000,0.300000
2010-03-15,0.003117,0.000196,0.002920,0.976010,0.971705,0.000000,-0.300000,0.052530,0.000000
2010-03-16,-0.004488,0.000071,-0.004559,0.971630,0.967274,-0.300000,-0.244318,0.081415,0.000000
2010-03-17,0.001144,0.000101,0.001043,0.972742,0.968283,-0.517349,0.000000,0.000000,0.000000
2010-03-18,-0.002716,0.000360,-0.003076,0.970099,0.965304,-0.039801,0.000000,0.525682,-0.525682
2010-03-19,0.000000,0.000280,-0.000280,0.970099,0.965034,0.000000,0.000000,0.000000,0.000000
2010-03-22,-0.004122,0.000181,-0.004303,0.966101,0.960881,-0.548360,-0.483767,0.000000,0.000000
2010-03-23,0.000730,0.000450,0.000280,0.966806,0.961150,-0.120563,0.000000,0.559324,-0.559324
2010-03-24,0.006680,0.000318,0.006362,0.973264,0.967265,-0.568248,-0.568248,0.568248,0.000000
2010-03-25,-0.002131,0.000342,-0.002473,0.971190,0.964873,0.000000,0.000000,0.557840,-0.557840
2010-03-26,-0.005593,0.000471,-0.006065,0.965758,0.959022,-0.460212,-0.568459,0.000000,0.000000
2010-03-29,0.002775,0.000321,0.002454,0.968438,0.961375,0.000000,0.000000,0.000000,-0.575298
2010-03-30,0.002269,0.000166,0.002103,0.970635,0.963396,0.000000,-0.043773,0.579334,-0.579334
2010-03-31,-0.000033,0.000010,-0.000043,0.970602,0.963355,0.000000,0.000000,0.584382,-0.584382
2010-04-01,-0.003334,0.000413,-0.003747,0.967366,0.959745,-0.592890,0.000000,0.000000,0.000000
2010-04-02,-0.001367,0.000316,-0.001683,0.966044,0.958130,0.000000,0.000000,0.213996,-0.600000
2010-04-05,-0.001310,0.000376,-0.001686,0.964778,0.956514,-0.600000,-0.348359,0.000000,0.000000
2010-04-06,0.005108,0.000480,0.004627,0.969706,0.960940,0.000000,0.000000,0.600000,-0.600000
2010-04-07,0.003529,0.000522,0.003007,0.973128,0.963830,-0.600000,-0.600000,0.000000,0.000000
2010-04-08,-0.001012,0.000161,-0.001174,0.972143,0.962698,-0.600000,-0.600000,0.600000,0.000000
2010-04-09,0.002373,0.000358,0.002015,0.974450,0.964638,0.000000,0.000000,0.600000,-0.600000
2010-04-12,0.000000,0.000311,-0.000311,0.974450,0.964338,0.000000,0.000000,0.000000,0.000000
2010-04-13,0.001481,0.000358,0.001123,0.975893,0.965421,0.600000,0.600000,0.000000,-0.600000
2010-04-14,0.008098,0.000014,0.008084,0.983796,0.973225,0.600000,0.600000,0.054133,-0.600000
2010-04-15,-0.003071,0.000177,-0.003248,0.980775,0.970064,0.000000,0.600000,0.301389,-0.600000
2010-04-16,-0.004290,0.000408,-0.004699,0.976567,0.965506,-0.600000,0.178961,0.600000,0.000000
2010-04-19,0.000000,0.000302,-0.000302,0.976567,0.965214,0.000000,0.000000,0.000000,0.000000
2010-04-20,0.003134,0.000195,0.002940,0.979628,0.968052,-0.521803,0.600000,0.000000,0.000000
2010-04-21,-0.001591,0.000430,-0.002022,0.978069,0.966095,0.000000,0.471446,0.600000,-0.600000
2010-04-22,0.001115,0.000134,0.000981,0.979160,0.967043,-0.600000,0.600000,0.600000,-0.600000
2010-04-23,0.000314,0.000424,-0.000110,0.979467,0.966936,0.000000,0.600000,0.000000,0.000000
2010-04-26,0.002799,0.000080,0.002719,0.982209,0.969566,-0.428339,0.600000,0.000000,0.000000
2010-04-27,0.003061,0.000295,0.002767,0.985216,0.972248,-0.600000,0.000000,0.600000,0.000000
2010-04-28,0.002296,0.000033,0.002263,0.987477,0.974448,-0.600000,0.000000,0.479756,0.000000
2010-04-29,0.003623,0.000391,0.003232,0.991055,0.977598,0.000000,0.000000,0.000000,-0.600000
2010-04-30,-0.000854,0.000208,-0.001062,0.990209,0.976560,-0.322676,0.000000,0.000000,0.000000
2010-05-03,-0.001395,0.000332,-0.001727,0.988828,0.974873,-0.205177,0.000000,0.600000,0.600000
2010-05-04,-0.019439,0.000332,-0.019771,0.969606,0.955598,0.000000,0.000000,0.600000,-0.600000
2010-05-05,0.011200,0.000650,0.010550,0.980466,0.965680,-0.600000,-0.458433,0.000000,0.600000
2010-05-06,0.008520,0.000220,0.008300,0.988819,0.973695,-0.600000,0.000000,0.000000,0.000000
2010-05-07,-0.000188,0.000151,-0.000339,0.988633,0.973366,0.000000,0.000000,-0.117649,0.000000
2010-05-10,-0.009801,0.000134,-0.009935,0.978943,0.963695,0.000000,0.000000,-0.600000,0.000000
2010-05-11,0.001484,0.000193,0.001292,0.980396,0.964940,-0.127059,0.000000,0.000000,0.000000
2010-05-12,0.001556,0.000352,0.001204,0.981922,0.966102,-0.048681,-0.600000,-0.314142,0.600000
2010-05-13,0.000000,0.000347,-0.000347,0.981922,0.965767,0.000000,0.000000,0.000000,0.000000
2010-05-14,0.019942,0.000369,0.019573,1.001503,0.984669,-0.600000,-0.600000,0.000000,0.600000
2010-05-17,0.004400,0.000230,0.004170,1.005910,0.988776,0.000000,-0.580530,-0.344626,0.570853
2010-05-18,0.011489,0.000271,0.011218,1.017467,0.999868,0.000000,0.000000,-0.578934,0.148155
2010-05-19,0.000927,0.000235,0.000692,1.018410,1.000560,-0.600000,0.000000,-0.600000,0.600000
2010-05-20,0.018956,0.000301,0.018656,1.037716,1.019226,0.000000,0.000000,-0.468913,0.000000
2010-05-21,-0.013776,0.000403,-0.014179,1.023420,1.004774,-0.129786,-0.586164,-0.009277,0.586164
2010-05-24,0.001062,0.000297,0.000765,1.024507,1.005543,0.000000,0.000000,-0.110959,0.000000
2010-05-25,-0.002149,0.000137,-0.002286,1.022305,1.003244,0.000000,0.000000,-0.564351,0.000000
2010-05-26,0.004915,0.000418,0.004497,1.027330,1.007756,-0.161441,-0.574893,-0.068071,0.574893
2010-05-27,-0.030024,0.000299,-0.030323,0.996485,0.977197,-0.553237,0.000000,-0.457632,0.549782
2010-05-28,0.006967,0.000300,0.006667,1.003427,0.983712,-0.224420,-0.498006,0.000000,0.498006
2010-05-31,-0.005178,0.000067,-0.005245,0.998231,0.978552,-0.186768,-0.496458,0.000000,0.250919
2010-06-01,0.002433,0.000228,0.002204,1.000660,0.980709,0.000000,0.000000,-0.153672,0.000000
2010-06-02,-0.009032,0.000249,-0.009280,0.991622,0.971608,-0.386703,-0.221863,-0.192787,0.499007
2010-06-03,0.000000,0.000294,-0.000294,0.991622,0.971322,0.000000,0.000000,0.000000,0.000000
2010-06-04,0.021861,0.000277,0.021583,1.013300,0.992287,-0.381561,-0.493382,0.000000,0.476209
2010-06-07,-0.000683,0.000056,-0.000739,1.012608,0.991554,-0.172996,-0.453782,0.000000,0.453782
2010-06-08,-0.011383,0.000289,-0.011672,1.001082,0.979980,0.000000,0.000000,-0.453776,0.296394
2010-06-09,0.000000,0.000208,-0.000208,1.001082,0.979776,0.000000,0.000000,0.000000,0.000000
2010-06-10,-0.005598,0.000083,-0.005681,0.995477,0.974210,0.000000,-0.334000,-0.088555,0.000000
2010-06-11,0.000000,0.000083,-0.000083,0.995477,0.974129,0.000000,0.000000,0.000000,0.000000
2010-06-14,-0.008336,0.000256,-0.008592,0.987179,0.965759,-0.340416,-0.453368,0.000000,0.453368
2010-06-15,-0.001111,0.000304,-0.001415,0.986083,0.964392,0.000000,0.000000,-0.166951,0.000000
2010-06-16,0.000218,0.000157,0.000061,0.986298,0.964451,0.000000,0.000000,0.000000,-0.447263
2010-06-17,-0.004973,0.000274,-0.005247,0.981393,0.959390,-0.447263,-0.447263,0.000000,0.000000
2010-06-18,-0.002091,0.000193,-0.002283,0.979341,0.957199,0.000000,-0.403642,-0.331860,0.000000
2010-06-21,-0.001109,0.000257,-0.001366,0.978255,0.955892,0.000000,0.000000,-0.052400,-0.445507
2010-06-22,-0.002222,0.000178,-0.002400,0.976081,0.953597,0.000000,-0.447838,0.000000,-0.084595
2010-06-23,-0.006055,0.000162,-0.006217,0.970171,0.947669,-0.418138,-0.413982,-0.178937,0.000000
2010-06-24,0.003402,0.000360,0.003042,0.973472,0.950552,0.000000,0.446329,-0.446329,0.224940
2010-06-25,-0.004535,0.000345,-0.004880,0.969058,0.945914,-0.445763,0.000000,0.000000,0.445763
2010-06-28,0.000390,0.000137,0.000253,0.969436,0.946153,0.000000,0.000000,0.000000,0.252251
2010-06-29,0.014092,0.000299,0.013793,0.983097,0.959203,-0.359772,0.444195,-0.444195,0.162655
2010-06-30,0.003605,0.000078,0.003527,0.986641,0.962586,-0.320088,0.427988,-0.427988,0.427988
2010-07-01,0.000000,0.000362,-0.000362,0.986641,0.962237,0.000000,0.000000,0.000000,0.000000
2010-07-02,0.003718,0.000164,0.003554,0.990309,0.965657,0.427092,0.000000,-0.266505,0.000000
2010-07-05,-0.000937,0.000325,-0.001262,0.989381,0.964438,0.000000,0.406545,0.000000,0.398573
2010-07-06,-0.004420,0.000067,-0.004487,0.985008,0.960110,0.000000,0.042236,0.000000,0.427212
2010-07-07,0.000306,0.000193,0.000113,0.985310,0.960219,0.425586,0.000000,0.000000,0.000000
2010-07-08,0.001998,0.000081,0.001917,0.987279,0.962060,0.425789,0.425789,0.037524,0.000000
