date,gross_return,cost,net_return,cum_gross,cum_net,weight_EURUSD,weight_GBPUSD,weight_AUDUSD,weight_USDCAD
2010-02-16,-0.004433,0.000000,-0.004433,0.995567,0.995567,-0.250000,0.250000,-0.250000,0.000000
2010-02-17,0.004666,0.000139,0.004526,1.000212,1.000073,-0.250000,-0.250000,-0.250000,-0.250000
2010-02-18,-0.010297,0.000314,-0.010611,0.989913,0.989461,0.250000,0.250000,0.250000,-0.250000
2010-02-19,-0.009064,0.000432,-0.009496,0.980940,0.980065,-0.250000,-0.250000,-0.250000,0.250000
2010-02-22,0.000486,0.000000,0.000486,0.981417,0.980542,-0.250000,-0.250000,-0.250000,0.250000
2010-02-23,0.003118,0.000140,0.002977,0.984477,0.983461,-0.250000,-0.250000,0.250000,0.250000
2010-02-24,0.000228,0.000200,0.000028,0.984701,0.983489,-0.250000,0.250000,0.250000,-0.250000
2010-02-25,-0.002694,0.000233,-0.002927,0.982048,0.980610,0.250000,0.250000,-0.250000,-0.250000
2010-02-26,-0.006533,0.000293,-0.006826,0.975633,0.973917,-0.250000,-0.250000,-0.250000,0.250000
2010-03-01,-0.001849,0.000434,-0.002284,0.973829,0.971693,0.250000,0.250000,0.250000,-0.250000
2010-03-02,0.002642,0.000092,0.002550,0.976401,0.974170,-0.250000,0.250000,0.250000,-0.250000
2010-03-03,0.003455,0.000091,0.003364,0.979775,0.977448,0.250000,0.250000,0.250000,-0.250000
2010-03-04,-0.001603,0.000139,-0.001742,0.978205,0.975745,0.250000,0.250000,-0.250000,-0.250000
2010-03-05,-0.005291,0.000296,-0.005587,0.973029,0.970294,-0.250000,-0.250000,-0.250000,0.250000
2010-03-08,0.001831,0.000122,0.001709,0.974810,0.971952,-0.250000,-0.250000,-0.250000,-0.250000
2010-03-09,0.001605,0.000312,0.001293,0.976374,0.973209,0.250000,0.250000,0.250000,-0.250000
2010-03-10,0.000173,0.000434,-0.000261,0.976543,0.972955,-0.250000,-0.250000,-0.250000,0.250000
2010-03-11,-0.000012,0.000350,-0.000362,0.976531,0.972602,0.250000,-0.250000,0.250000,-0.250000
2010-03-12,-0.000463,0.000296,-0.000759,0.976079,0.971864,-0.250000,0.250000,0.250000,0.250000
2010-03-15,0.004679,0.000343,0.004336,0.980645,0.976078,-0.250000,-0.250000,-0.250000,-0.250000
2010-03-16,-0.004605,0.000259,-0.004865,0.976129,0.971330,-0.250000,-0.250000,0.250000,0.250000
2010-03-17,-0.000156,0.000316,-0.000472,0.975977,0.970872,-0.364876,0.364876,-0.364876,0.364876
2010-03-18,-0.000371,0.000385,-0.000757,0.975615,0.970137,-0.373358,0.373358,0.373358,-0.373358
2010-03-19,-0.004870,0.000533,-0.005402,0.970864,0.964896,0.381816,0.381816,-0.381816,0.381816
2010-03-22,-0.004069,0.000272,-0.004341,0.966914,0.960707,-0.387895,-0.387895,-0.387895,0.387895
2010-03-23,0.005047,0.000408,0.004638,0.971794,0.965164,-0.395242,-0.395242,0.395242,-0.395242
2010-03-24,0.007065,0.000217,0.006848,0.978659,0.971773,-0.393988,-0.393988,-0.393988,-0.393988
2010-03-25,-0.003578,0.000495,-0.004073,0.975157,0.967814,0.387318,0.387318,0.387318,-0.387318
2010-03-26,-0.001649,0.000683,-0.002332,0.973549,0.965557,-0.393624,-0.393624,-0.393624,0.393624
2010-03-29,-0.003407,0.000330,-0.003737,0.970232,0.961949,-0.400788,0.400788,-0.400788,-0.400788
2010-03-30,0.002566,0.000373,0.002193,0.972722,0.964059,0.407230,0.407230,0.407230,-0.407230
2010-03-31,0.005540,0.000004,0.005537,0.978111,0.969396,0.411287,0.411287,0.411287,-0.411287
2010-04-01,-0.010419,0.000711,-0.011131,0.967920,0.958606,-0.409218,-0.409218,-0.409218,0.409218
2010-04-02,-0.005687,0.000704,-0.006391,0.962415,0.952480,0.401528,0.401528,0.401528,-0.401528
2010-04-05,-0.005747,0.000701,-0.006448,0.956884,0.946338,-0.404539,-0.404539,-0.404539,0.404539
2010-04-06,0.000407,0.000454,-0.000047,0.957274,0.946294,0.000000,0.000000,0.000000,-0.407591
2010-04-07,0.004099,0.000461,0.003638,0.961198,0.949737,-0.412912,-0.412912,-0.412912,0.412912
2010-04-08,0.001119,0.000513,0.000606,0.962273,0.950312,0.414059,0.414059,0.414059,0.414059
2010-04-09,0.008421,0.000211,0.008211,0.970377,0.958115,0.418854,0.418854,0.418854,-0.418854
2010-04-12,0.006210,0.000433,0.005776,0.976402,0.963649,0.410810,0.410810,-0.410810,0.410810
2010-04-13,0.001009,0.000316,0.000693,0.977388,0.964318,0.409046,0.409046,0.000000,-0.409046
2010-04-14,-0.003382,0.000245,-0.003628,0.974082,0.960819,0.413684,-0.413684,-0.413684,-0.413684
2010-04-15,-0.000078,0.000511,-0.000590,0.974006,0.960253,-0.418167,0.418167,0.418167,-0.418167
2010-04-16,-0.000412,0.000211,-0.000623,0.973604,0.959654,-0.423145,0.423145,0.423145,0.423145
2010-04-19,0.000473,0.000528,-0.000054,0.974065,0.959602,0.428070,-0.428070,-0.428070,0.428070
2010-04-20,-0.007342,0.000303,-0.007644,0.966914,0.952266,-0.432785,0.432785,-0.432785,0.432785
2010-04-21,-0.002305,0.000612,-0.002917,0.964685,0.949489,0.432997,0.432997,0.432997,-0.432997
2010-04-22,0.000813,0.000167,0.000646,0.965470,0.950103,-0.437558,0.437558,0.437558,-0.437558
2010-04-23,0.001855,0.000622,0.001233,0.967261,0.951274,0.441691,0.441691,-0.441691,0.441691
2010-04-26,0.002491,0.000168,0.002323,0.969670,0.953484,-0.445451,0.445451,-0.445451,0.445451
2010-04-27,0.021046,0.000269,0.020776,0.990077,0.973294,-0.448364,-0.448364,0.000000,0.448364
2010-04-28,-0.005937,0.000135,-0.006073,0.984199,0.967383,-0.405233,-0.405233,-0.405233,0.405233
2010-04-29,0.010782,0.000705,0.010077,0.994811,0.977131,0.406633,0.406633,0.406633,-0.406633
2010-04-30,0.008541,0.000699,0.007842,1.003307,0.984794,-0.398864,-0.398864,-0.398864,0.398864
2010-05-03,0.002317,0.000216,0.002101,1.005632,0.986863,-0.395706,-0.395706,0.395706,0.395706
2010-05-04,-0.009080,0.000220,-0.009300,0.996501,0.977685,0.398726,0.000000,0.398726,0.398726
