date,vix,vix_scale,mom_z,mom_scale,crash_scalar,leverage,net_ret_base,net_ret_filt,cum_base,cum_filt
2010-02-16,22.250000,0.887500,0.000000,1.000000,1.000000,1.000000,-0.004433,-0.004433,0.995567,0.995567
2010-02-17,21.719999,0.914000,0.000000,1.000000,0.887500,1.000000,0.004526,0.004000,1.000073,0.999549
2010-02-18,20.629999,0.968500,0.000000,1.000000,0.914000,1.000000,-0.010611,-0.009696,0.989461,0.989857
2010-02-19,20.020000,0.999000,0.000000,1.000000,0.968500,1.000000,-0.009496,-0.009185,0.980065,0.980765
2010-02-22,19.940001,1.000000,0.000000,1.000000,0.999000,1.000000,0.000486,0.000479,0.980542,0.981235
2010-02-23,21.370001,0.931500,0.000000,1.000000,1.000000,1.000000,0.002977,0.002977,0.983461,0.984157
2010-02-24,20.270000,0.986500,0.000000,1.000000,0.931500,1.000000,0.000028,0.000011,0.983489,0.984168
2010-02-25,20.100000,0.995000,0.000000,1.000000,0.986500,1.000000,-0.002927,-0.002887,0.980610,0.981327
2010-02-26,19.500000,1.000000,0.000000,1.000000,0.995000,1.000000,-0.006826,-0.006791,0.973917,0.974663
2010-03-01,19.260000,1.000000,0.000000,1.000000,1.000000,1.000000,-0.002284,-0.002282,0.971693,0.972438
2010-03-02,19.059999,1.000000,0.000000,1.000000,1.000000,1.000000,0.002550,0.002550,0.974170,0.974918
2010-03-03,18.830000,1.000000,0.000000,1.000000,1.000000,1.000000,0.003364,0.003364,0.977448,0.978197
2010-03-04,18.719999,1.000000,0.000000,1.000000,1.000000,1.000000,-0.001742,-0.001742,0.975745,0.976494
2010-03-05,17.420000,1.000000,0.000000,1.000000,1.000000,1.000000,-0.005587,-0.005587,0.970294,0.971038
2010-03-08,17.790001,1.000000,0.000000,1.000000,1.000000,1.000000,0.001709,0.001709,0.971952,0.972697
2010-03-09,17.920000,1.000000,0.000000,1.000000,1.000000,1.000000,0.001293,0.001293,0.973209,0.973955
