pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days
EURUSD,short,2011-09-12,2011-10-13,1.360082,1.379196,-0.014054,31
EURUSD,short,2014-09-05,2014-10-16,1.293276,1.282166,0.008590,41
EURUSD,short,2015-01-05,2015-03-24,1.194643,1.094499,0.083828,78
EURUSD,short,2022-03-07,2022-05-24,1.087453,1.068205,0.017700,78
GBPUSD,long,2013-09-19,2013-10-10,1.613320,1.595507,-0.011041,21
GBPUSD,short,2014-09-05,2014-09-19,1.629408,1.643709,-0.008777,14
GBPUSD,short,2015-01-05,2015-02-06,1.528491,1.532591,-0.002682,32
GBPUSD,short,2016-06-27,2016-09-02,1.345098,1.327492,0.013089,67
GBPUSD,short,2016-10-07,2016-11-07,1.240233,1.248907,-0.006994,31
GBPUSD,long,2017-04-19,2017-06-09,1.284456,1.272297,-0.009466,51
GBPUSD,long,2019-12-13,2019-12-18,1.347527,1.312215,-0.026205,5
GBPUSD,short,2020-03-19,2020-03-30,1.162534,1.245319,-0.071211,11
GBPUSD,short,2022-04-25,2022-05-27,1.283088,1.261734,0.016642,32
GBPUSD,short,2022-09-26,2022-10-04,1.079739,1.133414,-0.049712,8
AUDUSD,short,2010-05-20,2010-06-14,0.813405,0.858516,-0.055460,25
AUDUSD,short,2019-01-03,2019-01-07,0.691898,0.712378,-0.029599,4
AUDUSD,short,2020-03-13,2020-04-10,0.627412,0.633260,-0.009322,28
AUDUSD,long,2020-07-22,2020-09-23,0.713560,0.717443,0.005441,63
USDCAD,long,2011-09-23,2011-10-17,1.028000,1.009400,-0.018093,24
USDCAD,long,2015-01-05,2015-03-25,1.179300,1.250900,0.060714,79
USDCAD,long,2016-01-18,2016-01-25,1.457800,1.414060,-0.030004,7
USDCAD,long,2020-03-09,2020-04-14,1.362220,1.387310,0.018418,36
USDCAD,short,2021-01-01,2021-01-04,1.234990,1.272210,-0.030138,3
