pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
EURUSD,short,2010-02-04,2010-03-03,1.374495,1.370163,0.003151,27,reversion
EURUSD,long,2010-03-12,2010-03-19,1.376993,1.353693,-0.016921,7,reversion
EURUSD,short,2010-03-23,2010-04-12,1.346801,1.359601,-0.009504,20,reversion
EURUSD,short,2010-04-22,2010-06-15,1.326999,1.231906,0.071660,54,reversion
EURUSD,long,2010-07-01,2010-08-12,1.250750,1.284406,0.026908,42,reversion
EURUSD,short,2010-08-23,2010-09-03,1.271003,1.282594,-0.009119,11,reversion
EURUSD,long,2010-09-15,2010-10-20,1.299174,1.373909,0.057526,35,reversion
EURUSD,long,2010-11-04,2010-11-10,1.412729,1.377202,-0.025148,6,reversion
EURUSD,short,2010-11-12,2010-12-31,1.362101,1.330123,0.023477,49,reversion
EURUSD,short,2011-01-07,2011-01-14,1.297993,1.335327,-0.028763,7,stop
EURUSD,long,2011-01-17,2011-02-14,1.338025,1.351004,0.009700,28,reversion
EURUSD,long,2011-03-03,2011-05-06,1.386655,1.454440,0.048884,64,reversion
EURUSD,short,2011-05-12,2011-05-31,1.421100,1.432234,-0.007834,19,reversion
EURUSD,long,2011-06-06,2011-06-16,1.465502,1.418198,-0.032278,10,stop
EURUSD,short,2011-06-27,2011-06-30,1.417133,1.447890,-0.021704,3,reversion
EURUSD,short,2011-07-12,2011-07-22,1.404060,1.442003,-0.027023,10,reversion
EURUSD,long,2011-08-29,2011-09-02,1.449506,1.426208,-0.016073,4,reversion
EURUSD,short,2011-09-06,2011-10-11,1.406312,1.363550,0.030407,35,reversion
EURUSD,long,2011-10-17,2011-11-02,1.387906,1.365598,-0.016073,16,reversion
EURUSD,short,2011-11-10,2012-01-20,1.352667,1.296496,0.041527,71,reversion
EURUSD,long,2012-01-26,2012-02-16,1.310736,1.305807,-0.003761,21,reversion
EURUSD,long,2012-02-24,2012-03-05,1.337363,1.318618,-0.014017,10,reversion
EURUSD,short,2012-03-15,2012-03-26,1.302253,1.328304,-0.020004,11,reversion
EURUSD,short,2012-04-16,2012-04-23,1.305653,1.320481,-0.011356,7,reversion
EURUSD,short,2012-05-07,2012-06-07,1.297034,1.257387,0.030567,31,reversion
EURUSD,short,2012-07-06,2012-07-30,1.239157,1.230466,0.007014,24,reversion
EURUSD,long,2012-08-06,2012-09-27,1.242854,1.288162,0.036455,52,reversion
EURUSD,long,2012-10-17,2012-10-29,1.310788,1.292407,-0.014023,12,reversion
EURUSD,short,2012-11-05,2012-11-21,1.282791,1.281443,0.001051,16,reversion
EURUSD,long,2012-11-26,2012-12-10,1.296596,1.290606,-0.004620,14,reversion
EURUSD,long,2012-12-17,2013-01-04,1.316586,1.303271,-0.010113,18,reversion
EURUSD,long,2013-01-11,2013-02-11,1.327316,1.336827,0.007165,31,reversion
EURUSD,short,2013-02-21,2013-04-09,1.327316,1.302932,0.018371,47,reversion
EURUSD,long,2013-04-10,2013-04-24,1.308027,1.299444,-0.006562,14,reversion
EURUSD,long,2013-05-02,2013-05-13,1.318218,1.296529,-0.016453,11,reversion
EURUSD,short,2013-05-15,2013-05-30,1.293711,1.294783,-0.000829,15,reversion
EURUSD,long,2013-06-07,2013-06-24,1.324556,1.310530,-0.010589,17,reversion
EURUSD,short,2013-07-03,2013-07-11,1.297892,1.318774,-0.016089,8,reversion
EURUSD,long,2013-07-23,2013-08-30,1.319035,1.323627,0.003481,38,reversion
EURUSD,short,2013-09-02,2013-09-16,1.320830,1.335934,-0.011436,14,reversion
EURUSD,long,2013-09-19,2013-11-01,1.352302,1.357976,0.004196,43,reversion
EURUSD,short,2013-11-04,2013-11-20,1.349400,1.356742,-0.005440,16,reversion
EURUSD,long,2013-11-29,2013-12-20,1.360396,1.365579,0.003810,21,reversion
EURUSD,long,2013-12-31,2014-01-06,1.381006,1.359601,-0.015499,6,stop
EURUSD,short,2014-01-09,2014-01-24,1.357202,1.368907,-0.008624,15,reversion
EURUSD,short,2014-02-03,2014-02-14,1.348818,1.367877,-0.014130,11,stop
EURUSD,long,2014-02-17,2014-03-21,1.369994,1.378208,0.005995,32,reversion
EURUSD,short,2014-04-04,2014-04-10,1.372382,1.385502,-0.009560,6,reversion
EURUSD,long,2014-05-07,2014-05-12,1.393068,1.376065,-0.012206,5,stop
EURUSD,short,2014-05-13,2014-06-06,1.375667,1.366195,0.006886,24,reversion
EURUSD,short,2014-06-10,2014-06-26,1.359268,1.362899,-0.002671,16,reversion
EURUSD,long,2014-07-01,2014-07-07,1.369357,1.358843,-0.007677,6,reversion
EURUSD,short,2014-07-17,2014-10-16,1.352997,1.282166,0.052351,91,reversion
EURUSD,short,2014-11-03,2014-11-20,1.250313,1.254076,-0.003010,17,reversion
EURUSD,short,2014-11-24,2014-12-17,1.237501,1.251204,-0.011073,23,reversion
EURUSD,short,2014-12-19,2015-02-06,1.229045,1.147197,0.066595,49,reversion
EURUSD,short,2015-02-27,2015-03-24,1.120536,1.094499,0.023236,25,reversion
EURUSD,long,2015-04-06,2015-04-10,1.100134,1.066906,-0.030204,4,reversion
EURUSD,long,2015-04-30,2015-05-21,1.111432,1.110075,-0.001221,21,reversion
EURUSD,short,2015-05-27,2015-06-03,1.088886,1.115001,-0.023984,7,reversion
EURUSD,long,2015-06-18,2015-06-24,1.136997,1.117219,-0.017395,6,reversion
EURUSD,short,2015-07-16,2015-07-28,1.094355,1.109004,-0.013386,12,reversion
EURUSD,long,2015-08-13,2015-09-04,1.116096,1.112595,-0.003138,22,reversion
EURUSD,short,2015-09-23,2015-10-07,1.112075,1.126799,-0.013240,14,reversion
EURUSD,long,2015-10-15,2015-10-23,1.147552,1.108095,-0.034384,8,stop
EURUSD,short,2015-10-26,2015-12-04,1.102038,1.091596,0.009475,39,reversion
EURUSD,long,2015-12-10,2016-01-04,1.101795,1.085399,-0.014881,25,reversion
EURUSD,short,2016-01-05,2016-01-29,1.082755,1.093697,-0.010106,24,reversion
EURUSD,long,2016-02-04,2016-02-19,1.109102,1.111099,0.001800,15,reversion
EURUSD,short,2016-03-01,2016-03-11,1.088898,1.117843,-0.026582,10,stop
EURUSD,long,2016-03-17,2016-04-14,1.121894,1.127904,0.005357,28,reversion
EURUSD,long,2016-05-02,2016-05-16,1.146303,1.131695,-0.012743,14,reversion
EURUSD,short,2016-05-19,2016-06-06,1.122297,1.135100,-0.011408,18,reversion
EURUSD,short,2016-06-27,2016-08-01,1.103594,1.116807,-0.011972,35,reversion
EURUSD,long,2016-08-03,2016-08-31,1.121906,1.115324,-0.005867,28,reversion
EURUSD,short,2016-10-07,2016-11-02,1.114455,1.105705,0.007850,26,reversion
EURUSD,short,2016-11-14,2016-12-02,1.082485,1.066314,0.014939,18,reversion
EURUSD,short,2016-12-15,2016-12-30,1.051414,1.057530,-0.005817,15,reversion
EURUSD,long,2017-01-13,2017-02-08,1.061684,1.067806,0.005766,26,reversion
EURUSD,short,2017-02-14,2017-03-13,1.059850,1.069004,-0.008637,27,reversion
EURUSD,long,2017-03-16,2017-03-31,1.073791,1.068707,-0.004734,15,reversion
EURUSD,short,2017-04-10,2017-04-19,1.058201,1.072869,-0.013861,9,stop
EURUSD,long,2017-04-24,2017-06-16,1.087394,1.114691,0.025103,53,reversion
EURUSD,long,2017-06-28,2017-08-16,1.133915,1.174122,0.035458,49,reversion
EURUSD,long,2017-08-28,2017-09-21,1.195186,1.187211,-0.006672,24,reversion
EURUSD,short,2017-09-26,2017-10-11,1.185565,1.181488,0.003438,15,reversion
EURUSD,short,2017-10-27,2017-11-14,1.163724,1.166494,-0.002380,18,reversion
EURUSD,long,2017-11-24,2017-12-07,1.185396,1.180429,-0.004191,13,reversion
EURUSD,long,2017-12-28,2018-02-08,1.190079,1.226813,0.030867,42,reversion
EURUSD,short,2018-02-28,2018-03-07,1.223032,1.241665,-0.015235,7,reversion
EURUSD,long,2018-03-27,2018-04-06,1.245749,1.225160,-0.016527,10,stop
