instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
GOLD,short,2010-02-04,2010-02-16,1062.400024,1119.300049,-0.053558,12,stop
GOLD,long,2010-02-17,2010-03-12,1119.500000,1101.500000,-0.016079,23,reversion
GOLD,short,2010-03-24,2010-03-31,1088.599976,1113.300049,-0.022690,7,stop
GOLD,long,2010-04-05,2010-05-20,1132.900024,1187.800049,0.048460,45,reversion
GOLD,long,2010-06-08,2010-07-01,1244.000000,1206.300049,-0.030305,23,stop
GOLD,short,2010-07-06,2010-08-05,1194.800049,1197.199951,-0.002009,30,reversion
GOLD,long,2010-08-12,2010-10-21,1214.800049,1324.699951,0.090467,70,reversion
GOLD,long,2010-11-04,2010-11-16,1382.699951,1338.300049,-0.032111,12,stop
GOLD,long,2010-12-06,2010-12-16,1415.300049,1370.400024,-0.031725,10,stop
GOLD,long,2010-12-31,2011-01-04,1421.099976,1378.500000,-0.029977,4,stop
GOLD,short,2011-01-07,2011-02-03,1368.500000,1352.300049,0.011838,27,reversion
GOLD,long,2011-02-15,2011-03-15,1373.599976,1392.599976,0.013832,28,reversion
GOLD,long,2011-03-23,2011-05-05,1437.900024,1480.900024,0.029905,43,reversion
GOLD,short,2011-05-17,2011-05-24,1479.800049,1523.199951,-0.029328,7,stop
GOLD,long,2011-06-01,2011-06-10,1542.400024,1528.599976,-0.008947,9,reversion
GOLD,long,2011-06-22,2011-06-23,1552.900024,1520.099976,-0.021122,1,stop
GOLD,short,2011-06-24,2011-07-07,1500.500000,1530.199951,-0.019793,13,reversion
GOLD,long,2011-07-12,2011-09-15,1561.900024,1778.500000,0.138677,65,reversion
GOLD,short,2011-09-22,2011-10-10,1739.199951,1669.599976,0.040018,18,reversion
GOLD,long,2011-10-25,2011-11-17,1699.599976,1719.800049,0.011885,23,reversion
GOLD,short,2011-12-12,2012-01-05,1664.199951,1619.400024,0.026920,24,reversion
GOLD,long,2012-01-11,2012-02-14,1639.199951,1715.900024,0.046791,34,reversion
GOLD,long,2012-02-21,2012-02-29,1757.099976,1709.900024,-0.026862,8,reversion
GOLD,short,2012-03-02,2012-04-12,1708.800049,1679.500000,0.017147,41,reversion
GOLD,short,2012-05-08,2012-06-01,1604.000000,1620.500000,-0.010287,24,reversion
GOLD,long,2012-06-06,2012-06-21,1632.800049,1564.500000,-0.041830,15,stop
GOLD,short,2012-06-28,2012-06-29,1549.699951,1603.500000,-0.034716,1,stop
GOLD,long,2012-08-20,2012-10-12,1620.099976,1758.000000,0.085118,53,reversion
GOLD,short,2012-10-15,2012-11-08,1736.000000,1725.400024,0.006106,24,reversion
GOLD,long,2012-11-19,2012-11-30,1734.000000,1710.900024,-0.013322,11,reversion
GOLD,short,2012-12-04,2013-01-02,1694.400024,1687.900024,0.003836,29,reversion
GOLD,long,2013-01-17,2013-01-25,1690.400024,1656.400024,-0.020114,8,reversion
GOLD,short,2013-02-11,2013-03-15,1648.199951,1592.500000,0.033794,32,reversion
GOLD,short,2013-04-03,2013-04-09,1552.800049,1586.199951,-0.021509,6,stop
GOLD,short,2013-04-12,2013-04-29,1501.000000,1467.400024,0.022385,17,reversion
GOLD,short,2013-05-16,2013-05-30,1387.099976,1411.500000,-0.017591,14,reversion
GOLD,short,2013-06-18,2013-07-11,1366.599976,1280.099976,0.063296,23,reversion
GOLD,long,2013-07-19,2013-08-05,1293.300049,1302.599976,0.007191,17,reversion
GOLD,long,2013-08-15,2013-09-10,1361.599976,1364.099976,0.001836,26,reversion
GOLD,short,2013-09-12,2013-10-22,1330.400024,1342.500000,-0.009095,40,reversion
GOLD,long,2013-10-24,2013-11-01,1350.199951,1313.099976,-0.027477,8,reversion
GOLD,short,2013-11-12,2013-12-10,1271.099976,1262.400024,0.006844,28,reversion
GOLD,short,2013-12-19,2014-01-02,1195.000000,1225.000000,-0.025105,14,reversion
GOLD,long,2014-01-10,2014-03-20,1246.699951,1330.500000,0.067217,69,reversion
GOLD,short,2014-03-24,2014-04-10,1311.199951,1320.099976,-0.006788,17,reversion
GOLD,short,2014-05-27,2014-06-11,1265.400024,1260.800049,0.003635,15,reversion
GOLD,long,2014-06-19,2014-07-08,1313.699951,1316.000000,0.001751,19,reversion
GOLD,long,2014-07-10,2014-07-14,1338.699951,1306.300049,-0.024203,4,stop
GOLD,short,2014-07-24,2014-08-06,1290.599976,1306.699951,-0.012475,13,reversion
GOLD,short,2014-08-21,2014-10-09,1273.699951,1224.599976,0.038549,49,reversion
GOLD,long,2014-10-15,2014-10-29,1244.099976,1224.300049,-0.015915,14,reversion
GOLD,short,2014-10-31,2014-11-14,1171.099976,1185.000000,-0.011869,14,reversion
GOLD,long,2014-12-01,2014-12-22,1218.000000,1179.699951,-0.031445,21,stop
GOLD,short,2014-12-24,2014-12-30,1173.500000,1200.199951,-0.022752,6,reversion
GOLD,long,2015-01-12,2015-01-29,1232.699951,1254.599976,0.017766,17,reversion
GOLD,short,2015-02-10,2015-03-20,1231.599976,1184.800049,0.037999,38,reversion
GOLD,long,2015-04-01,2015-04-22,1208.099976,1186.900024,-0.017548,21,reversion
GOLD,short,2015-04-24,2015-04-27,1175.199951,1203.300049,-0.023911,3,reversion
GOLD,short,2015-05-01,2015-05-13,1174.500000,1218.400024,-0.037378,12,stop
GOLD,long,2015-05-14,2015-05-26,1225.400024,1187.199951,-0.031174,12,stop
GOLD,short,2015-06-04,2015-06-18,1174.900024,1201.500000,-0.022640,14,stop
GOLD,short,2015-07-02,2015-08-10,1163.000000,1104.199951,0.050559,39,reversion
GOLD,long,2015-08-19,2015-09-04,1128.099976,1120.599976,-0.006648,16,reversion
GOLD,short,2015-09-09,2015-09-18,1102.199951,1138.099976,-0.032571,9,stop
GOLD,long,2015-09-24,2015-09-29,1153.800049,1127.099976,-0.023141,5,stop
GOLD,long,2015-10-09,2015-10-29,1156.300049,1147.199951,-0.007870,20,reversion
GOLD,short,2015-11-02,2015-12-04,1135.800049,1084.500000,0.045166,32,reversion
GOLD,short,2015-12-17,2015-12-21,1050.800049,1081.900024,-0.029596,4,stop
GOLD,long,2016-01-06,2016-03-16,1091.900024,1229.300049,0.125836,70,reversion
GOLD,short,2016-03-28,2016-04-07,1219.900024,1236.199951,-0.013362,10,reversion
GOLD,long,2016-04-28,2016-05-19,1265.500000,1254.199951,-0.008929,21,reversion
GOLD,short,2016-05-24,2016-06-08,1228.900024,1259.800049,-0.025144,15,reversion
GOLD,long,2016-06-13,2016-06-23,1284.400024,1261.199951,-0.018063,10,reversion
