date,trailing_12m_base_ret,scale,base_gross_return,base_net_return,filt_gross_return,filt_cost,filt_net_return,cum_base,cum_filt
2010-04-30,,1.000000,0.006644,0.006644,0.006644,0.000000,0.006644,1.006644,1.006644
2010-05-31,,0.000000,-0.015351,-0.015351,-0.000000,0.000227,-0.000227,0.991191,1.006415
2010-06-30,,0.000000,-0.012620,-0.012729,-0.000000,0.000000,-0.000000,0.978574,1.006415
2010-07-30,,0.000000,0.029558,0.029558,0.000000,0.000000,0.000000,1.007499,1.006415
2010-08-31,,0.000000,-0.012714,-0.012714,-0.000000,0.000000,-0.000000,0.994689,1.006415
2010-09-30,,0.000000,0.037934,0.037814,0.000000,0.000000,0.000000,1.032303,1.006415
2010-10-29,,0.000000,0.001191,0.001191,0.000000,0.000000,0.000000,1.033532,1.006415
2010-11-30,,0.000000,-0.016065,-0.016186,-0.000000,0.000000,-0.000000,1.016803,1.006415
2010-12-31,,0.000000,0.027562,0.027562,0.000000,0.000000,0.000000,1.044829,1.006415
2011-01-31,,0.000000,-0.007753,-0.007868,-0.000000,0.000000,-0.000000,1.036608,1.006415
2011-02-28,,0.000000,0.020977,0.020977,0.000000,0.000000,0.000000,1.058353,1.006415
2011-03-31,0.066790,0.000000,0.007975,0.007892,0.000000,0.000000,0.000000,1.066705,1.006415
2011-04-29,0.105877,1.000000,0.045731,0.045731,0.045731,0.000227,0.045504,1.115487,1.052211
2011-05-31,0.106443,1.000000,-0.014785,-0.014785,-0.014785,0.000000,-0.014785,1.098994,1.036654
2011-06-30,0.129207,1.000000,0.010035,0.010035,0.010035,0.000000,0.010035,1.110023,1.047057
2011-07-29,0.118456,1.000000,0.018807,0.018807,0.018807,0.000000,0.018807,1.130899,1.066749
2011-08-31,0.112285,1.000000,-0.018804,-0.018885,-0.018804,0.000113,-0.018918,1.109542,1.046569
2011-09-30,0.003309,1.000000,-0.071162,-0.071162,-0.071162,0.000000,-0.071162,1.030585,0.972093
2011-10-31,0.053837,1.000000,0.051841,0.051719,0.051841,0.000113,0.051727,1.083885,1.022377
2011-11-30,0.035014,1.000000,-0.034774,-0.035009,-0.034774,0.000227,-0.035001,1.045940,0.986593
2011-12-30,0.017250,1.000000,0.009919,0.009798,0.009919,0.000113,0.009805,1.056188,0.996267
2012-01-31,0.032632,1.000000,0.007636,0.007514,0.007636,0.000113,0.007523,1.064124,1.003761
2012-02-29,0.015719,1.000000,0.004173,0.004064,0.004173,0.000113,0.004059,1.068449,1.007836
2012-03-30,0.003523,1.000000,-0.004304,-0.004304,-0.004304,0.000000,-0.004304,1.063850,1.003498
2012-04-30,-0.034532,1.000000,0.007676,0.007676,0.007676,0.000000,0.007676,1.072016,1.011201
2012-05-31,-0.016365,0.000000,0.003382,0.003382,0.000000,0.000227,-0.000227,1.075642,1.010972
2012-06-29,-0.021486,0.000000,0.004914,0.004914,0.000000,0.000000,0.000000,1.080927,1.010972
2012-07-31,-0.013569,0.000000,0.026724,0.026724,0.000000,0.000000,0.000000,1.109814,1.010972
2012-08-31,-0.007866,0.000000,-0.013182,-0.013182,-0.000000,0.000000,-0.000000,1.095185,1.010972
2012-09-28,0.056183,0.000000,-0.007113,-0.007113,-0.000000,0.000000,-0.000000,1.087394,1.010972
2012-10-31,-0.004326,1.000000,-0.008790,-0.008790,-0.008790,0.000227,-0.009017,1.077836,1.001856
2012-11-30,0.032432,0.000000,0.001749,0.001749,0.000000,0.000227,-0.000227,1.079721,1.001628
2012-12-31,0.012392,1.000000,-0.010242,-0.010242,-0.010242,0.000227,-0.010469,1.068663,0.991142
2013-01-31,-0.003314,1.000000,-0.008192,-0.008192,-0.008192,0.000000,-0.008192,1.059908,0.983023
2013-02-28,-0.004660,0.000000,0.002718,0.002718,0.000000,0.000227,-0.000227,1.062789,0.982800
2013-03-29,0.017984,0.000000,0.018340,0.018340,0.000000,0.000000,0.000000,1.082281,0.982800
2013-04-30,0.000902,1.000000,-0.009406,-0.009406,-0.009406,0.000227,-0.009633,1.072101,0.973332
2013-05-31,-0.017939,1.000000,-0.015459,-0.015459,-0.015459,0.000000,-0.015459,1.055527,0.958286
2013-06-28,-0.039304,0.000000,-0.016451,-0.016451,-0.000000,0.000227,-0.000227,1.038163,0.958068
2013-07-31,-0.075866,0.000000,-0.009838,-0.009838,-0.000000,0.000000,-0.000000,1.027949,0.958068
2013-08-30,-0.071503,0.000000,-0.008819,-0.008819,-0.000000,0.000000,-0.000000,1.018884,0.958068
2013-09-30,-0.060396,0.000000,0.003994,0.003994,0.000000,0.000000,0.000000,1.022953,0.958068
2013-10-31,-0.056693,0.000000,-0.005087,-0.005087,-0.000000,0.000000,-0.000000,1.017750,0.958068
2013-11-29,-0.067432,0.000000,-0.008990,-0.008990,-0.000000,0.000000,-0.000000,1.008600,0.958068
2013-12-31,-0.072079,0.000000,-0.014889,-0.014889,-0.000000,0.000000,-0.000000,0.993583,0.958068
2014-01-31,-0.070508,0.000000,-0.006621,-0.006621,-0.000000,0.000000,-0.000000,0.987004,0.958068
2014-02-28,-0.074442,0.000000,-0.001216,-0.001216,-0.000000,0.000000,-0.000000,0.985804,0.958068
2014-03-31,-0.084053,0.000000,0.008729,0.008729,0.000000,0.000000,0.000000,0.994409,0.958068
2014-04-30,-0.074169,0.000000,0.000478,0.000478,0.000000,0.000000,0.000000,0.994885,0.958068
2014-05-30,-0.047174,0.000000,0.011536,0.011536,0.000000,0.000000,0.000000,1.006362,0.958068
2014-06-30,-0.026559,0.000000,0.004164,0.004164,0.000000,0.000000,0.000000,1.010552,0.958068
2014-07-31,-0.015289,0.000000,0.001432,0.001432,0.000000,0.000000,0.000000,1.011999,0.958068
