pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
EURUSD,long,2010-07-09,2010-08-12,1.264398,1.284406,0.015824,34,stop
EURUSD,short,2010-09-06,2010-09-15,1.289407,1.299174,-0.007574,9,stop
EURUSD,long,2010-09-27,2010-11-12,1.347909,1.362101,0.010529,46,stop
EURUSD,short,2010-11-29,2011-01-03,1.323802,1.335791,-0.009057,35,stop
EURUSD,long,2011-01-26,2011-05-09,1.368607,1.435297,0.048728,103,stop
EURUSD,short,2011-05-30,2011-06-03,1.429736,1.448604,-0.013197,4,stop
EURUSD,long,2011-08-18,2011-09-05,1.442918,1.415769,-0.018816,18,stop
EURUSD,short,2011-09-13,2011-10-13,1.366027,1.379196,-0.009641,30,stop
EURUSD,long,2011-11-04,2011-11-10,1.382992,1.352667,-0.021927,6,stop
EURUSD,short,2011-11-25,2012-01-25,1.333102,1.304104,0.021752,61,stop
EURUSD,long,2012-02-13,2012-03-07,1.323679,1.312336,-0.008570,23,stop
EURUSD,short,2012-04-06,2012-04-13,1.306506,1.318913,-0.009496,7,reversal
EURUSD,long,2012-04-13,2012-04-16,1.318913,1.305653,-0.010054,3,stop
EURUSD,short,2012-04-16,2012-06-18,1.305653,1.270487,0.026934,63,stop
EURUSD,long,2012-08-28,2012-11-05,1.250156,1.282791,0.026105,69,stop
EURUSD,short,2012-11-14,2012-11-26,1.270971,1.296596,-0.020162,12,stop
EURUSD,long,2012-12-12,2013-01-04,1.301321,1.303271,0.001499,23,stop
EURUSD,short,2013-03-05,2013-04-09,1.303611,1.302932,0.000521,35,stop
EURUSD,long,2013-04-30,2013-05-15,1.309586,1.293711,-0.012122,15,stop
EURUSD,short,2013-05-29,2013-06-04,1.284637,1.307292,-0.017635,6,stop
EURUSD,long,2013-06-17,2013-06-27,1.334864,1.301338,-0.025116,10,stop
EURUSD,short,2013-07-17,2013-07-23,1.315115,1.319035,-0.002981,6,stop
EURUSD,long,2013-08-02,2013-09-02,1.321196,1.320830,-0.000277,31,stop
EURUSD,short,2013-11-22,2013-11-29,1.347182,1.360396,-0.009809,7,stop
EURUSD,long,2013-12-13,2014-01-06,1.375081,1.359601,-0.011257,24,stop
EURUSD,short,2014-01-27,2014-02-17,1.368794,1.369994,-0.000877,21,stop
EURUSD,long,2014-02-28,2014-03-28,1.370746,1.374136,0.002474,28,stop
EURUSD,short,2014-05-16,2014-07-01,1.371648,1.369357,0.001671,46,stop
EURUSD,long,2015-05-07,2015-05-25,1.134147,1.099300,-0.030725,18,stop
EURUSD,short,2015-07-13,2015-08-13,1.112904,1.116096,-0.002868,31,stop
EURUSD,long,2015-08-26,2015-09-23,1.155095,1.112075,-0.037243,28,stop
EURUSD,short,2015-10-28,2015-12-04,1.103704,1.091596,0.010971,37,stop
EURUSD,long,2015-12-28,2016-01-05,1.096599,1.082755,-0.012625,8,stop
