instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
GOLD,short,2010-07-16,2010-08-06,1188.000000,1203.400024,-0.012963,21,stop
GOLD,long,2010-08-26,2011-01-05,1235.400024,1373.400024,0.111705,132,stop
GOLD,short,2011-01-24,2011-02-15,1344.500000,1373.599976,-0.021644,22,stop
GOLD,long,2011-02-28,2011-03-15,1409.300049,1392.599976,-0.011850,15,stop
GOLD,short,2011-07-06,2011-07-08,1528.699951,1541.199951,-0.008177,2,stop
GOLD,long,2011-07-11,2011-09-15,1548.800049,1778.500000,0.148308,66,stop
GOLD,short,2011-10-03,2011-10-25,1656.000000,1699.599976,-0.026328,22,stop
GOLD,long,2011-11-14,2011-11-21,1777.800049,1678.300049,-0.055968,7,stop
GOLD,short,2011-12-14,2012-01-10,1584.300049,1631.000000,-0.029477,27,stop
GOLD,long,2012-01-30,2012-02-29,1731.000000,1709.900024,-0.012189,30,stop
GOLD,short,2012-03-21,2012-06-01,1650.000000,1620.500000,0.017879,72,stop
GOLD,long,2012-07-05,2012-07-12,1608.900024,1564.900024,-0.027348,7,stop
GOLD,short,2012-07-17,2012-07-25,1589.099976,1608.000000,-0.011894,8,stop
GOLD,long,2012-07-26,2012-08-01,1615.000000,1603.699951,-0.006997,6,reversal
GOLD,short,2012-08-01,2012-08-06,1603.699951,1612.900024,-0.005737,5,stop
GOLD,long,2012-08-09,2012-10-15,1617.099976,1736.000000,0.073527,67,stop
GOLD,short,2012-11-02,2012-11-19,1674.099976,1734.000000,-0.035780,17,stop
GOLD,long,2013-08-12,2013-09-11,1334.699951,1363.900024,0.021878,30,stop
GOLD,short,2013-09-30,2013-10-22,1326.500000,1342.500000,-0.012062,22,stop
GOLD,long,2014-01-24,2014-03-24,1264.500000,1311.199951,0.036932,59,stop
GOLD,short,2014-04-11,2014-04-14,1318.699951,1327.199951,-0.006446,3,stop
GOLD,long,2014-07-01,2014-07-15,1326.400024,1296.900024,-0.022241,14,stop
GOLD,short,2014-08-14,2014-10-14,1313.900024,1233.599976,0.061116,61,stop
GOLD,long,2014-12-15,2014-12-22,1207.199951,1179.699951,-0.022780,7,stop
GOLD,short,2015-02-26,2015-03-25,1209.599976,1197.300049,0.010169,27,stop
GOLD,long,2015-04-16,2015-04-24,1198.000000,1175.199951,-0.019032,8,stop
GOLD,short,2015-06-10,2015-06-18,1186.099976,1201.500000,-0.012984,8,stop
GOLD,long,2015-09-04,2015-09-09,1120.599976,1102.199951,-0.016420,5,stop
GOLD,short,2015-11-13,2016-01-06,1080.800049,1091.900024,-0.010270,54,stop
GOLD,long,2016-01-12,2016-03-23,1085.599976,1223.699951,0.127211,71,stop
GOLD,short,2016-04-15,2016-04-19,1233.099976,1253.000000,-0.016138,4,stop
GOLD,long,2016-04-28,2016-05-20,1265.500000,1252.400024,-0.010352,22,stop
GOLD,short,2016-06-03,2016-06-08,1240.099976,1259.800049,-0.015886,5,stop
GOLD,long,2016-06-24,2016-07-25,1320.000000,1319.300049,-0.000530,31,stop
GOLD,short,2016-09-01,2016-09-06,1312.199951,1349.400024,-0.028349,5,stop
GOLD,long,2017-01-20,2017-03-03,1204.300049,1225.500000,0.017604,42,stop
GOLD,short,2017-05-17,2017-05-22,1257.500000,1260.699951,-0.002545,5,stop
GOLD,long,2017-06-07,2017-06-15,1290.099976,1252.199951,-0.029378,8,stop
GOLD,short,2017-07-05,2017-07-18,1220.400024,1241.099976,-0.016962,13,stop
GOLD,long,2017-08-08,2017-09-19,1256.400024,1306.199951,0.039637,42,stop
GOLD,short,2017-10-09,2017-10-13,1281.800049,1301.500000,-0.015369,4,stop
GOLD,long,2017-11-29,2017-12-05,1282.099976,1261.599976,-0.015989,6,stop
GOLD,short,2017-12-08,2017-12-22,1245.199951,1275.400024,-0.024253,14,stop
GOLD,long,2018-01-05,2018-02-07,1320.300049,1311.599976,-0.006589,33,stop
GOLD,short,2018-03-08,2018-03-09,1319.900024,1322.400024,-0.001894,1,reversal
GOLD,long,2018-03-09,2018-03-12,1322.400024,1319.400024,-0.002269,3,reversal
GOLD,short,2018-03-12,2018-03-23,1319.400024,1349.300049,-0.022662,11,stop
GOLD,long,2018-04-10,2018-04-23,1342.000000,1322.500000,-0.014531,13,stop
GOLD,short,2018-05-09,2018-09-12,1311.300049,1204.699951,0.081293,126,stop
GOLD,long,2018-10-12,2018-11-09,1218.099976,1206.400024,-0.009605,28,stop
GOLD,short,2019-03-20,2019-03-22,1300.500000,1311.599976,-0.008535,2,stop
GOLD,long,2019-06-03,2019-09-10,1322.699951,1490.300049,0.126711,99,stop
GOLD,short,2019-10-07,2019-10-31,1497.699951,1511.400024,-0.009147,24,stop
GOLD,long,2019-12-27,2020-02-28,1513.800049,1564.099976,0.033228,63,stop
GOLD,short,2020-04-01,2020-04-03,1578.199951,1633.699951,-0.035167,2,stop
GOLD,long,2020-04-13,2020-05-06,1744.800049,1684.199951,-0.034732,23,stop
GOLD,short,2020-09-23,2020-10-21,1859.900024,1924.599976,-0.034787,28,stop
GOLD,long,2020-12-31,2021-01-08,1893.099976,1834.099976,-0.031166,8,stop
GOLD,short,2021-02-02,2021-04-08,1830.500000,1756.800049,0.040262,65,stop
GOLD,long,2021-04-23,2021-06-14,1777.000000,1864.000000,0.048959,52,stop
GOLD,short,2021-06-29,2021-07-09,1762.800049,1810.000000,-0.026776,10,stop
GOLD,long,2021-09-08,2021-09-16,1790.699951,1754.599976,-0.020160,8,stop
GOLD,short,2021-09-24,2021-10-13,1749.699951,1793.699951,-0.025147,19,stop
GOLD,long,2021-11-03,2021-11-23,1763.599976,1783.500000,0.011284,20,stop
GOLD,short,2021-12-14,2021-12-17,1770.400024,1803.800049,-0.018866,3,stop
GOLD,long,2022-01-12,2022-01-27,1827.199951,1793.300049,-0.018553,15,stop
GOLD,short,2022-04-28,2022-06-02,1888.699951,1866.500000,0.011754,35,stop
GOLD,long,2022-08-24,2022-08-26,1747.800049,1736.099976,-0.006694,2,stop
GOLD,short,2022-09-06,2022-10-04,1700.400024,1721.099976,-0.012174,28,stop
GOLD,long,2022-11-15,2023-02-03,1773.800049,1862.900024,0.050231,80,stop
GOLD,short,2023-02-24,2023-03-10,1808.800049,1862.000000,-0.029412,14,stop
GOLD,long,2023-03-24,2023-05-17,1982.099976,1980.699951,-0.000706,54,stop
GOLD,short,2023-05-30,2023-07-12,1958.000000,1956.199951,0.000919,43,stop
GOLD,long,2023-07-28,2023-08-02,1960.400024,1937.400024,-0.011732,5,stop
GOLD,short,2023-08-16,2023-08-29,1896.099976,1936.500000,-0.021307,13,stop
GOLD,long,2023-10-30,2023-11-08,1996.199951,1951.500000,-0.022393,9,stop
GOLD,short,2024-01-29,2024-01-31,2025.199951,2048.399902,-0.011456,2,stop
GOLD,long,2024-03-06,2024-04-30,2150.300049,2291.399902,0.065619,55,stop
GOLD,short,2024-06-17,2024-07-03,2312.399902,2359.800049,-0.020498,16,stop
GOLD,long,2024-07-15,2024-07-25,2422.899902,2351.899902,-0.029304,10,stop
