date,vix,vix_scale,trailing_20d_base,z_tr20,mom_scale,scale_raw,scale,base_gross_return,base_net_return,filt_gross_return,filt_cost,filt_net_return,cum_base,cum_filt
2010-01-04,20.040001,0.998000,,0.000000,1.000000,0.998000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-05,19.350000,1.000000,,0.000000,1.000000,1.000000,0.998000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-06,19.160000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-07,19.059999,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-08,18.129999,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-11,17.549999,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-12,18.250000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-13,17.850000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-14,17.629999,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-15,17.910000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-18,17.910000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-19,17.580000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-20,18.680000,1.000000,,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-21,22.270000,0.886500,,0.000000,1.000000,0.886500,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-22,27.309999,0.634500,,0.000000,1.000000,0.634500,0.886500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-25,25.410000,0.729500,,0.000000,1.000000,0.729500,0.634500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-26,24.549999,0.772500,,0.000000,1.000000,0.772500,0.729500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-27,23.139999,0.843000,,0.000000,1.000000,0.843000,0.772500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-28,23.730000,0.813500,,0.000000,1.000000,0.813500,0.843000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-29,24.620001,0.769000,0.000000,0.000000,1.000000,0.769000,0.813500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-02-01,22.590000,0.870500,0.000000,0.000000,1.000000,0.870500,0.769000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-02-02,21.480000,0.926000,-0.004507,0.000000,1.000000,0.926000,0.870500,-0.004380,-0.004507,-0.003813,0.000110,-0.003923,0.995493,0.996077
2010-02-03,21.600000,0.920000,-0.000019,0.000000,1.000000,0.920000,0.926000,0.004496,0.004488,0.004163,0.000000,0.004163,0.999961,1.000224
2010-02-04,26.080000,0.696000,0.003229,0.000000,1.000000,0.696000,0.920000,0.003327,0.003248,0.003061,0.000074,0.002987,1.003209,1.003212
2010-02-05,26.110001,0.694500,0.011130,0.000000,1.000000,0.694500,0.696000,0.008085,0.007901,0.005627,0.000169,0.005459,1.011135,1.008688
2010-02-08,26.510000,0.674500,-0.003364,0.000000,1.000000,0.674500,0.694500,-0.014395,-0.014494,-0.009997,0.000068,-0.010066,0.996480,0.998535
2010-02-09,26.000000,0.700000,-0.015731,0.000000,1.000000,0.700000,0.674500,-0.012349,-0.012367,-0.008329,0.000021,-0.008351,0.984156,0.990196
2010-02-10,25.400000,0.730000,-0.019580,0.000000,1.000000,0.730000,0.700000,-0.003838,-0.003849,-0.002687,0.000009,-0.002695,0.980368,0.987527
2010-02-11,23.959999,0.802000,-0.034893,0.000000,1.000000,0.802000,0.730000,-0.015189,-0.015313,-0.011088,0.000097,-0.011185,0.965356,0.976482
2010-02-12,22.730000,0.863500,-0.030456,0.000000,1.000000,0.863500,0.802000,0.004517,0.004437,0.003623,0.000070,0.003552,0.969639,0.979951
2010-02-15,22.730000,0.863500,-0.030458,0.000000,1.000000,0.863500,0.863500,0.000000,-0.000002,0.000000,0.000016,-0.000016,0.969637,0.979935
2010-02-16,22.250000,0.887500,-0.048469,0.000000,1.000000,0.887500,0.863500,-0.018009,-0.018011,-0.015551,0.000002,-0.015553,0.952173,0.964695
2010-02-17,21.719999,0.914000,-0.052553,0.000000,1.000000,0.914000,0.887500,-0.003703,-0.004084,-0.003286,0.000332,-0.003618,0.948284,0.961204
2010-02-18,20.629999,0.968500,-0.053851,0.000000,1.000000,0.968500,0.914000,-0.001195,-0.001298,-0.001092,0.000094,-0.001186,0.947053,0.960064
2010-02-19,20.020000,0.999000,-0.052753,0.000000,1.000000,0.999000,0.968500,0.001180,0.001098,0.001143,0.000092,0.001051,0.948093,0.961073
2010-02-22,19.940001,1.000000,-0.045733,0.000000,1.000000,1.000000,0.999000,0.007084,0.007020,0.007077,0.000073,0.007004,0.954749,0.967804
2010-02-23,21.370001,0.931500,-0.049427,0.000000,1.000000,0.931500,1.000000,-0.003681,-0.003694,-0.003681,0.000013,-0.003694,0.951222,0.964230
2010-02-24,20.270000,0.986500,-0.048712,0.000000,1.000000,0.986500,0.931500,0.000719,0.000715,0.000670,0.000027,0.000642,0.951902,0.964849
2010-02-25,20.100000,0.995000,-0.052237,0.000000,1.000000,0.995000,0.986500,-0.003521,-0.003525,-0.003473,0.000023,-0.003497,0.948547,0.961475
2010-02-26,19.500000,1.000000,-0.048859,0.000000,1.000000,1.000000,0.995000,0.003509,0.003378,0.003491,0.000130,0.003361,0.951751,0.964707
2010-03-01,19.260000,1.000000,-0.046784,0.000000,1.000000,1.000000,1.000000,0.002077,0.002075,0.002077,0.000002,0.002075,0.953726,0.966708
2010-03-02,19.059999,1.000000,-0.037642,0.000000,1.000000,1.000000,1.000000,0.004637,0.004635,0.004637,0.000002,0.004635,0.958146,0.971189
2010-03-03,18.830000,1.000000,-0.037846,0.000000,1.000000,1.000000,1.000000,0.004436,0.004284,0.004436,0.000153,0.004283,0.962251,0.975349
2010-03-04,18.719999,1.000000,-0.041232,0.000000,1.000000,1.000000,1.000000,-0.000131,-0.000138,-0.000131,0.000007,-0.000138,0.962118,0.975214
2010-03-05,17.420000,1.000000,-0.043480,0.000000,1.000000,1.000000,1.000000,0.005666,0.005653,0.005666,0.000013,0.005653,0.967557,0.980727
2010-03-08,17.790001,1.000000,-0.030214,0.000000,1.000000,1.000000,1.000000,-0.001148,-0.001228,-0.001148,0.000080,-0.001228,0.966369,0.979523
2010-03-09,17.920000,1.000000,-0.018084,0.000000,1.000000,1.000000,1.000000,-0.000212,-0.000237,-0.000212,0.000024,-0.000236,0.966140,0.979291
2010-03-10,18.570000,1.000000,-0.023604,0.000000,1.000000,1.000000,1.000000,-0.009366,-0.009369,-0.009366,0.000003,-0.009369,0.957088,0.970116
2010-03-11,18.059999,1.000000,-0.001828,0.000000,1.000000,1.000000,1.000000,0.006471,0.006463,0.006471,0.000008,0.006463,0.963274,0.976386
2010-03-12,17.580000,1.000000,-0.010141,0.000000,1.000000,1.000000,1.000000,-0.003743,-0.003876,-0.003743,0.000133,-0.003876,0.959540,0.972602
2010-03-15,18.000000,1.000000,-0.017555,0.000000,1.000000,1.000000,1.000000,-0.007246,-0.007416,-0.007246,0.000170,-0.007416,0.952424,0.965389
2010-03-16,17.690001,1.000000,0.005639,0.000000,1.000000,1.000000,1.000000,0.005281,0.005183,0.005281,0.000098,0.005183,0.957361,0.970393
2010-03-17,16.910000,1.000000,0.012673,0.000000,1.000000,1.000000,1.000000,0.002961,0.002950,0.002961,0.000011,0.002950,0.960185,0.973256
