date,gross_return,cost,net_return,gross_exposure,weight_EURUSD,weight_GBPUSD,weight_AUDUSD,weight_NZDUSD,weight_USDJPY,weight_USDCAD,weight_USDCHF,cum_gross,cum_net
2010-01-04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-05,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-07,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-18,-0.000939,0.000259,-0.001198,1.000000,0.000000,-0.250000,0.250000,-0.250000,0.250000,0.000000,0.000000,0.999061,0.998802
2010-01-19,0.002434,0.000000,0.002434,1.000000,0.000000,-0.250000,0.250000,-0.250000,0.250000,0.000000,0.000000,1.001492,1.001233
2010-01-20,0.001893,0.000000,0.001893,1.000000,0.000000,-0.250000,0.250000,-0.250000,0.250000,0.000000,0.000000,1.003388,1.003128
2010-01-21,0.000173,0.000000,0.000173,1.000000,0.000000,-0.250000,0.250000,-0.250000,0.250000,0.000000,0.000000,1.003562,1.003302
2010-01-22,0.000208,0.000000,0.000208,1.000000,0.000000,-0.250000,0.250000,-0.250000,0.250000,0.000000,0.000000,1.003770,1.003510
2010-01-25,0.003109,0.000402,0.002707,1.000000,0.000000,0.000000,0.250000,0.250000,0.000000,-0.250000,-0.250000,1.006891,1.006226
2010-01-26,-0.006206,0.000000,-0.006206,1.000000,0.000000,0.000000,0.250000,0.250000,0.000000,-0.250000,-0.250000,1.000642,0.999982
2010-01-27,-0.002831,0.000000,-0.002831,1.000000,0.000000,0.000000,0.250000,0.250000,0.000000,-0.250000,-0.250000,0.997809,0.997150
2010-01-28,-0.002446,0.000000,-0.002446,1.000000,0.000000,0.000000,0.250000,0.250000,0.000000,-0.250000,-0.250000,0.995367,0.994711
2010-01-29,-0.006676,0.000000,-0.006676,1.000000,0.000000,0.000000,0.250000,0.250000,0.000000,-0.250000,-0.250000,0.988723,0.988071
2010-02-01,0.006222,0.000133,0.006089,1.000000,0.250000,0.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.994875,0.994087
2010-02-02,0.001042,0.000000,0.001042,1.000000,0.250000,0.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.995911,0.995123
2010-02-03,-0.004677,0.000000,-0.004677,1.000000,0.250000,0.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.991253,0.990468
2010-02-04,-0.010739,0.000000,-0.010739,1.000000,0.250000,0.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.980608,0.979832
2010-02-05,-0.002580,0.000000,-0.002580,1.000000,0.250000,0.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.978078,0.977303
2010-02-08,-0.003775,0.000086,-0.003861,1.000000,0.000000,0.250000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.974385,0.973530
2010-02-09,0.009438,0.000000,0.009438,1.000000,0.000000,0.250000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.983581,0.982717
2010-02-10,-0.000564,0.000000,-0.000564,1.000000,0.000000,0.250000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.983026,0.982163
2010-02-11,0.007038,0.000000,0.007038,1.000000,0.000000,0.250000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.989945,0.989076
2010-02-12,-0.001416,0.000000,-0.001416,1.000000,0.000000,0.250000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.988542,0.987675
2010-02-15,-0.000648,0.000493,-0.001141,1.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.250000,0.000000,0.987902,0.986548
2010-02-16,-0.004934,0.000000,-0.004934,1.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.250000,0.000000,0.983028,0.981680
2010-02-17,-0.000236,0.000000,-0.000236,1.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.250000,0.000000,0.982796,0.981448
2010-02-18,0.003483,0.000000,0.003483,1.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.250000,0.000000,0.986219,0.984867
2010-02-19,-0.004304,0.000000,-0.004304,1.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.250000,0.000000,0.981974,0.980628
2010-02-22,0.001874,0.000244,0.001630,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.983814,0.982226
2010-02-23,0.007413,0.000000,0.007413,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.991107,0.989507
2010-02-24,-0.001789,0.000000,-0.001789,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.989334,0.987737
2010-02-25,0.004127,0.000000,0.004127,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.993417,0.991814
2010-02-26,-0.003961,0.000000,-0.003961,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.989483,0.987886
2010-03-01,0.000041,0.000376,-0.000335,1.000000,-0.250000,0.250000,0.000000,0.000000,0.250000,-0.250000,0.000000,0.989523,0.987555
2010-03-02,0.000248,0.000000,0.000248,1.000000,-0.250000,0.250000,0.000000,0.000000,0.250000,-0.250000,0.000000,0.989768,0.987799
2010-03-03,-0.000065,0.000000,-0.000065,1.000000,-0.250000,0.250000,0.000000,0.000000,0.250000,-0.250000,0.000000,0.989704,0.987735
2010-03-04,0.002848,0.000000,0.002848,1.000000,-0.250000,0.250000,0.000000,0.000000,0.250000,-0.250000,0.000000,0.992523,0.990549
2010-03-05,0.004338,0.000000,0.004338,1.000000,-0.250000,0.250000,0.000000,0.000000,0.250000,-0.250000,0.000000,0.996828,0.994845
2010-03-08,-0.002019,0.000375,-0.002394,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.994815,0.992464
2010-03-09,-0.001815,0.000000,-0.001815,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.993010,0.990663
2010-03-10,-0.002037,0.000000,-0.002037,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.990987,0.988645
2010-03-11,0.000290,0.000000,0.000290,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.991275,0.988932
2010-03-12,0.001746,0.000000,0.001746,1.000000,0.000000,0.250000,-0.250000,0.000000,-0.250000,0.250000,0.000000,0.993006,0.990659
2010-03-15,0.003157,0.000215,0.002942,1.000000,-0.250000,0.000000,-0.250000,0.000000,0.000000,0.250000,0.250000,0.996141,0.993573
2010-03-16,-0.006021,0.000000,-0.006021,1.000000,-0.250000,0.000000,-0.250000,0.000000,0.000000,0.250000,0.250000,0.990143,0.987590
2010-03-17,-0.001649,0.000000,-0.001649,1.000000,-0.250000,0.000000,-0.250000,0.000000,0.000000,0.250000,0.250000,0.988510,0.985962
2010-03-18,0.004391,0.000000,0.004391,1.000000,-0.250000,0.000000,-0.250000,0.000000,0.000000,0.250000,0.250000,0.992851,0.990291
2010-03-19,0.004308,0.000000,0.004308,1.000000,-0.250000,0.000000,-0.250000,0.000000,0.000000,0.250000,0.250000,0.997128,0.994557
2010-03-22,0.003324,0.000470,0.002855,1.000000,0.250000,0.250000,0.000000,-0.250000,0.000000,0.000000,-0.250000,1.000443,0.997397
2010-03-23,-0.002302,0.000000,-0.002302,1.000000,0.250000,0.250000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.998140,0.995101
2010-03-24,-0.007453,0.000000,-0.007453,1.000000,0.250000,0.250000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.990701,0.987684
2010-03-25,-0.001737,0.000000,-0.001737,1.000000,0.250000,0.250000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.988981,0.985969
2010-03-26,0.004913,0.000000,0.004913,1.000000,0.250000,0.250000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.993839,0.990813
2010-03-29,0.005991,0.000386,0.005606,1.000000,0.250000,0.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.999794,0.996367
2010-03-30,-0.000854,0.000000,-0.000854,1.000000,0.250000,0.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.998940,0.995516
2010-03-31,-0.000336,0.000000,-0.000336,1.000000,0.250000,0.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.998604,0.995182
2010-04-01,0.003702,0.000000,0.003702,1.000000,0.250000,0.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,1.002301,0.998866
2010-04-02,-0.004014,0.000000,-0.004014,1.000000,0.250000,0.000000,0.250000,0.000000,-0.250000,-0.250000,0.000000,0.998278,0.994857
2010-04-05,-0.002688,0.000339,-0.003027,1.000000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.250000,0.250000,0.995594,0.991846
2010-04-06,0.003130,0.000000,0.003130,1.000000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.250000,0.250000,0.998710,0.994950
2010-04-07,0.003705,0.000000,0.003705,1.000000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.250000,0.250000,1.002410,0.998636
2010-04-08,-0.001727,0.000000,-0.001727,1.000000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.250000,0.250000,1.000679,0.996911
2010-04-09,-0.002120,0.000000,-0.002120,1.000000,0.000000,-0.250000,0.000000,0.000000,-0.250000,0.250000,0.250000,0.998557,0.994798
2010-04-12,0.002978,0.000389,0.002589,1.000000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.250000,0.000000,1.001531,0.997373
2010-04-13,0.000768,0.000000,0.000768,1.000000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.250000,0.000000,1.002300,0.998139
2010-04-14,-0.004847,0.000000,-0.004847,1.000000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.250000,0.000000,0.997443,0.993302
2010-04-15,0.002029,0.000000,0.002029,1.000000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.250000,0.000000,0.999466,0.995317
2010-04-16,0.003796,0.000000,0.003796,1.000000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.250000,0.000000,1.003260,0.999095
2010-04-19,0.001032,0.000393,0.000640,1.000000,-0.250000,0.000000,0.250000,0.000000,0.250000,-0.250000,0.000000,1.004295,0.999734
2010-04-20,0.008563,0.000000,0.008563,1.000000,-0.250000,0.000000,0.250000,0.000000,0.250000,-0.250000,0.000000,1.012895,1.008294
2010-04-21,-0.000770,0.000000,-0.000770,1.000000,-0.250000,0.000000,0.250000,0.000000,0.250000,-0.250000,0.000000,1.012116,1.007518
2010-04-22,0.002027,0.000000,0.002027,1.000000,-0.250000,0.000000,0.250000,0.000000,0.250000,-0.250000,0.000000,1.014167,1.009560
2010-04-23,0.000558,0.000000,0.000558,1.000000,-0.250000,0.000000,0.250000,0.000000,0.250000,-0.250000,0.000000,1.014733,1.010124
2010-04-26,-0.001234,0.000505,-0.001739,1.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.000000,1.013481,1.008368
2010-04-27,0.005186,0.000000,0.005186,1.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.000000,1.018737,1.013597
2010-04-28,-0.004763,0.000000,-0.004763,1.000000,0.250000,0.000000,0.000000,-0.250000,-0.250000,0.250000,0.000000,1.013885,1.008769
