date,gross_return,cost,net_return,gross_exposure,weight_EU,weight_GB,weight_AU,weight_NZ,weight_JP,weight_CA,weight_CH,weight_SE,weight_NO,cum_gross,cum_net
2010-01-04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-05,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-07,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-01-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-02-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2010-02-02,-0.000738,0.000214,-0.000953,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.999262,0.999047
2010-02-03,-0.002924,0.000000,-0.002924,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.996340,0.996126
2010-02-04,-0.006772,0.000000,-0.006772,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.989593,0.989381
2010-02-05,0.000940,0.000000,0.000940,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.990524,0.990311
2010-02-08,-0.001228,0.000000,-0.001228,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.989308,0.989095
2010-02-09,0.006165,0.000000,0.006165,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.995406,0.995193
2010-02-10,0.001119,0.000000,0.001119,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.996521,0.996307
2010-02-11,0.003322,0.000000,0.003322,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,0.999831,0.999616
2010-02-12,0.000530,0.000000,0.000530,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.000361,1.000147
2010-02-15,0.000349,0.000000,0.000349,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.000711,1.000496
2010-02-16,0.003254,0.000000,0.003254,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.003967,1.003752
2010-02-17,0.002279,0.000000,0.002279,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.006255,1.006039
2010-02-18,-0.000453,0.000000,-0.000453,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.005800,1.005584
2010-02-19,0.001572,0.000000,0.001572,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.007381,1.007164
2010-02-22,0.000810,0.000000,0.000810,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.008197,1.007981
2010-02-23,-0.004770,0.000000,-0.004770,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.003388,1.003172
2010-02-24,0.000931,0.000000,0.000931,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.004322,1.004106
2010-02-25,-0.002379,0.000000,-0.002379,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.001933,1.001718
2010-02-26,0.002644,0.000000,0.002644,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.004582,1.004366
2010-03-01,0.004484,0.000000,0.004484,1.000000,-0.166667,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,0.000000,0.166667,1.009086,1.008870
2010-03-02,-0.000893,0.000036,-0.000930,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.008185,1.007932
2010-03-03,-0.001004,0.000000,-0.001004,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.007173,1.006920
2010-03-04,-0.002273,0.000000,-0.002273,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.004884,1.004631
2010-03-05,0.004762,0.000000,0.004762,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.009668,1.009415
2010-03-08,0.001821,0.000000,0.001821,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.011507,1.011253
2010-03-09,0.002597,0.000000,0.002597,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.014134,1.013879
2010-03-10,0.000654,0.000000,0.000654,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.014797,1.014542
2010-03-11,-0.000511,0.000000,-0.000511,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.014279,1.014024
2010-03-12,-0.001839,0.000000,-0.001839,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.012414,1.012160
2010-03-15,0.001588,0.000000,0.001588,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.014021,1.013767
2010-03-16,0.001273,0.000000,0.001273,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.015312,1.015058
2010-03-17,0.000937,0.000000,0.000937,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.016264,1.016009
2010-03-18,0.000581,0.000000,0.000581,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.016854,1.016599
2010-03-19,0.000061,0.000000,0.000061,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.016916,1.016661
2010-03-22,-0.001219,0.000000,-0.001219,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.015676,1.015421
2010-03-23,-0.000132,0.000000,-0.000132,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.015542,1.015287
2010-03-24,0.002472,0.000000,0.002472,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.018052,1.017796
2010-03-25,-0.000360,0.000000,-0.000360,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.017685,1.017429
2010-03-26,-0.000904,0.000000,-0.000904,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.016765,1.016510
2010-03-29,0.004942,0.000000,0.004942,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.021790,1.021534
2010-03-30,-0.000384,0.000000,-0.000384,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.021398,1.021141
2010-03-31,-0.001165,0.000000,-0.001165,1.000000,0.000000,-0.166667,0.166667,0.166667,-0.166667,0.000000,0.000000,-0.166667,0.166667,1.020207,1.019951
