date,spy_close,ma200,position,bench_return,gross_return,cost,net_return,cum_strategy,cum_benchmark
2010-01-05,84.802361,,0.000000,0.002647,0.000000,0.000000,0.000000,1.000000,1.002647
2010-01-06,84.862076,,0.000000,0.000704,0.000000,0.000000,0.000000,1.000000,1.003353
2010-01-07,85.220306,,0.000000,0.004221,0.000000,0.000000,0.000000,1.000000,1.007589
2010-01-08,85.503906,,0.000000,0.003328,0.000000,0.000000,0.000000,1.000000,1.010942
2010-01-11,85.623306,,0.000000,0.001396,0.000000,0.000000,0.000000,1.000000,1.012354
2010-01-12,84.824776,,0.000000,-0.009326,-0.000000,0.000000,-0.000000,1.000000,1.002912
2010-01-13,85.541214,,0.000000,0.008446,0.000000,0.000000,0.000000,1.000000,1.011383
2010-01-14,85.772568,,0.000000,0.002705,0.000000,0.000000,0.000000,1.000000,1.014118
2010-01-15,84.809814,,0.000000,-0.011224,-0.000000,0.000000,-0.000000,1.000000,1.002735
2010-01-19,85.869568,,0.000000,0.012496,0.000000,0.000000,0.000000,1.000000,1.015265
2010-01-20,84.996414,,0.000000,-0.010168,-0.000000,0.000000,-0.000000,1.000000,1.004942
2010-01-21,83.362000,,0.000000,-0.019229,-0.000000,0.000000,-0.000000,1.000000,0.985617
2010-01-22,81.503723,,0.000000,-0.022292,-0.000000,0.000000,-0.000000,1.000000,0.963646
2010-01-25,81.921623,,0.000000,0.005127,0.000000,0.000000,0.000000,1.000000,0.968587
2010-01-26,81.578354,,0.000000,-0.004190,-0.000000,0.000000,-0.000000,1.000000,0.964529
2010-01-27,81.966400,,0.000000,0.004757,0.000000,0.000000,0.000000,1.000000,0.969117
2010-01-28,81.026085,,0.000000,-0.011472,-0.000000,0.000000,-0.000000,1.000000,0.957999
2010-01-29,80.145477,,0.000000,-0.010868,-0.000000,0.000000,-0.000000,1.000000,0.947587
2010-02-01,81.391762,,0.000000,0.015550,0.000000,0.000000,0.000000,1.000000,0.962323
2010-02-02,82.376884,,0.000000,0.012103,0.000000,0.000000,0.000000,1.000000,0.973970
2010-02-03,81.966400,,0.000000,-0.004983,-0.000000,0.000000,-0.000000,1.000000,0.969117
2010-02-04,79.436462,,0.000000,-0.030866,-0.000000,0.000000,-0.000000,1.000000,0.939204
2010-02-05,79.600655,,0.000000,0.002067,0.000000,0.000000,0.000000,1.000000,0.941146
2010-02-08,79.025986,,0.000000,-0.007219,-0.000000,0.000000,-0.000000,1.000000,0.934351
2010-02-09,80.018578,,0.000000,0.012560,0.000000,0.000000,0.000000,1.000000,0.946087
2010-02-10,79.861824,,0.000000,-0.001959,-0.000000,0.000000,-0.000000,1.000000,0.944234
2010-02-11,80.697739,,0.000000,0.010467,0.000000,0.000000,0.000000,1.000000,0.954117
2010-02-12,80.630547,,0.000000,-0.000833,-0.000000,0.000000,-0.000000,1.000000,0.953322
2010-02-16,81.899254,,0.000000,0.015735,0.000000,0.000000,0.000000,1.000000,0.968323
2010-02-17,82.287331,,0.000000,0.004738,0.000000,0.000000,0.000000,1.000000,0.972911
2010-02-18,82.772430,,0.000000,0.005895,0.000000,0.000000,0.000000,1.000000,0.978647
2010-02-19,82.944061,,0.000000,0.002074,0.000000,0.000000,0.000000,1.000000,0.980676
2010-02-22,82.959007,,0.000000,0.000180,0.000000,0.000000,0.000000,1.000000,0.980853
2010-02-23,81.951485,,0.000000,-0.012145,-0.000000,0.000000,-0.000000,1.000000,0.968940
2010-02-24,82.705276,,0.000000,0.009198,0.000000,0.000000,0.000000,1.000000,0.977853
2010-02-25,82.593323,,0.000000,-0.001354,-0.000000,0.000000,-0.000000,1.000000,0.976529
2010-02-26,82.645569,,0.000000,0.000633,0.000000,0.000000,0.000000,1.000000,0.977147
2010-03-01,83.503792,,0.000000,0.010384,0.000000,0.000000,0.000000,1.000000,0.987294
2010-03-02,83.735176,,0.000000,0.002771,0.000000,0.000000,0.000000,1.000000,0.990030
2010-03-03,83.809799,,0.000000,0.000891,0.000000,0.000000,0.000000,1.000000,0.990912
2010-03-04,84.063530,,0.000000,0.003027,0.000000,0.000000,0.000000,1.000000,0.993912
2010-03-05,85.265083,,0.000000,0.014293,0.000000,0.000000,0.000000,1.000000,1.008118
2010-03-08,85.279991,,0.000000,0.000175,0.000000,0.000000,0.000000,1.000000,1.008294
2010-03-09,85.421829,,0.000000,0.001663,0.000000,0.000000,0.000000,1.000000,1.009971
2010-03-10,85.802406,,0.000000,0.004455,0.000000,0.000000,0.000000,1.000000,1.014471
2010-03-11,86.160645,,0.000000,0.004175,0.000000,0.000000,0.000000,1.000000,1.018707
2010-03-12,86.168121,,0.000000,0.000087,0.000000,0.000000,0.000000,1.000000,1.018795
2010-03-15,86.190498,,0.000000,0.000260,0.000000,0.000000,0.000000,1.000000,1.019060
2010-03-16,86.877098,,0.000000,0.007966,0.000000,0.000000,0.000000,1.000000,1.027178
2010-03-17,87.392044,,0.000000,0.005927,0.000000,0.000000,0.000000,1.000000,1.033266
2010-03-18,87.347267,,0.000000,-0.000512,-0.000000,0.000000,-0.000000,1.000000,1.032737
2010-03-19,86.905144,,0.000000,-0.005062,-0.000000,0.000000,-0.000000,1.000000,1.027509
2010-03-22,87.369789,,0.000000,0.005347,0.000000,0.000000,0.000000,1.000000,1.033003
2010-03-23,87.984222,,0.000000,0.007033,0.000000,0.000000,0.000000,1.000000,1.040267
2010-03-24,87.557060,,0.000000,-0.004855,-0.000000,0.000000,-0.000000,1.000000,1.035217
2010-03-25,87.414703,,0.000000,-0.001626,-0.000000,0.000000,-0.000000,1.000000,1.033534
2010-03-26,87.362267,,0.000000,-0.000600,-0.000000,0.000000,-0.000000,1.000000,1.032914
2010-03-29,87.916779,,0.000000,0.006347,0.000000,0.000000,0.000000,1.000000,1.039470
2010-03-30,87.976746,,0.000000,0.000682,0.000000,0.000000,0.000000,1.000000,1.040179
2010-03-31,87.676979,,0.000000,-0.003407,-0.000000,0.000000,-0.000000,1.000000,1.036635
2010-04-01,88.276482,,0.000000,0.006838,0.000000,0.000000,0.000000,1.000000,1.043723
2010-04-05,88.995903,,0.000000,0.008150,0.000000,0.000000,0.000000,1.000000,1.052229
2010-04-06,89.205727,,0.000000,0.002358,0.000000,0.000000,0.000000,1.000000,1.054710
2010-04-07,88.696114,,0.000000,-0.005713,-0.000000,0.000000,-0.000000,1.000000,1.048684
2010-04-08,89.003387,,0.000000,0.003464,0.000000,0.000000,0.000000,1.000000,1.052317
2010-04-09,89.587891,,0.000000,0.006567,0.000000,0.000000,0.000000,1.000000,1.059228
2010-04-12,89.730278,,0.000000,0.001589,0.000000,0.000000,0.000000,1.000000,1.060912
2010-04-13,89.797737,,0.000000,0.000752,0.000000,0.000000,0.000000,1.000000,1.061709
2010-04-14,90.816856,,0.000000,0.011349,0.000000,0.000000,0.000000,1.000000,1.073759
2010-04-15,90.891792,,0.000000,0.000825,0.000000,0.000000,0.000000,1.000000,1.074645
2010-04-16,89.445518,,0.000000,-0.015912,-0.000000,0.000000,-0.000000,1.000000,1.057545
2010-04-19,89.782722,,0.000000,0.003770,0.000000,0.000000,0.000000,1.000000,1.061532
2010-04-20,90.584557,,0.000000,0.008931,0.000000,0.000000,0.000000,1.000000,1.071012
2010-04-21,90.419724,,0.000000,-0.001820,-0.000000,0.000000,-0.000000,1.000000,1.069063
2010-04-22,90.689476,,0.000000,0.002983,0.000000,0.000000,0.000000,1.000000,1.072253
2010-04-23,91.281487,,0.000000,0.006528,0.000000,0.000000,0.000000,1.000000,1.079252
2010-04-26,90.936760,,0.000000,-0.003777,-0.000000,0.000000,-0.000000,1.000000,1.075176
2010-04-27,88.786041,,0.000000,-0.023651,-0.000000,0.000000,-0.000000,1.000000,1.049748
2010-04-28,89.460518,,0.000000,0.007597,0.000000,0.000000,0.000000,1.000000,1.057722
2010-04-29,90.569603,,0.000000,0.012397,0.000000,0.000000,0.000000,1.000000,1.070835
2010-04-30,89.033356,,0.000000,-0.016962,-0.000000,0.000000,-0.000000,1.000000,1.052672
2010-05-03,90.187401,,0.000000,0.012962,0.000000,0.000000,0.000000,1.000000,1.066316
2010-05-04,88.066650,,0.000000,-0.023515,-0.000000,0.000000,-0.000000,1.000000,1.041242
2010-05-05,87.542091,,0.000000,-0.005956,-0.000000,0.000000,-0.000000,1.000000,1.035040
2010-05-06,84.634537,,0.000000,-0.033213,-0.000000,0.000000,-0.000000,1.000000,1.000663
2010-05-07,83.375565,,0.000000,-0.014875,-0.000000,0.000000,-0.000000,1.000000,0.985778
2010-05-10,87.047523,,0.000000,0.044041,0.000000,0.000000,0.000000,1.000000,1.029193
2010-05-11,86.800186,,0.000000,-0.002841,-0.000000,0.000000,-0.000000,1.000000,1.026268
2010-05-12,88.014229,,0.000000,0.013987,0.000000,0.000000,0.000000,1.000000,1.040622
2010-05-13,86.920120,,0.000000,-0.012431,-0.000000,0.000000,-0.000000,1.000000,1.027686
2010-05-14,85.346428,,0.000000,-0.018105,-0.000000,0.000000,-0.000000,1.000000,1.009080
2010-05-17,85.391403,,0.000000,0.000527,0.000000,0.000000,0.000000,1.000000,1.009612
2010-05-18,84.229866,,0.000000,-0.013603,-0.000000,0.000000,-0.000000,1.000000,0.995878
2010-05-19,83.750275,,0.000000,-0.005694,-0.000000,0.000000,-0.000000,1.000000,0.990208
2010-05-20,80.587860,,0.000000,-0.037760,-0.000000,0.000000,-0.000000,1.000000,0.952818
2010-05-21,81.764404,,0.000000,0.014600,0.000000,0.000000,0.000000,1.000000,0.966728
2010-05-24,80.715271,,0.000000,-0.012831,-0.000000,0.000000,-0.000000,1.000000,0.954324
2010-05-25,80.797707,,0.000000,0.001021,0.000000,0.000000,0.000000,1.000000,0.955299
2010-05-26,80.310600,,0.000000,-0.006029,-0.000000,0.000000,-0.000000,1.000000,0.949540
2010-05-27,83.000885,,0.000000,0.033499,0.000000,0.000000,0.000000,1.000000,0.981348
2010-05-28,81.959229,,0.000000,-0.012550,-0.000000,0.000000,-0.000000,1.000000,0.969032
2010-06-01,80.580360,,0.000000,-0.016824,-0.000000,0.000000,-0.000000,1.000000,0.952729
2010-06-02,82.678688,,0.000000,0.026040,0.000000,0.000000,0.000000,1.000000,0.977538
2010-06-03,82.963417,,0.000000,0.003444,0.000000,0.000000,0.000000,1.000000,0.980905
2010-06-04,80.048332,,0.000000,-0.035137,-0.000000,0.000000,-0.000000,1.000000,0.946439
2010-06-07,79.051659,,0.000000,-0.012451,-0.000000,0.000000,-0.000000,1.000000,0.934655
2010-06-08,79.898499,,0.000000,0.010712,0.000000,0.000000,0.000000,1.000000,0.944667
2010-06-09,79.471336,,0.000000,-0.005346,-0.000000,0.000000,-0.000000,1.000000,0.939617
2010-06-10,81.794395,,0.000000,0.029231,0.000000,0.000000,0.000000,1.000000,0.967083
2010-06-11,82.191551,,0.000000,0.004856,0.000000,0.000000,0.000000,1.000000,0.971779
2010-06-14,82.064148,,0.000000,-0.001550,-0.000000,0.000000,-0.000000,1.000000,0.970272
2010-06-15,83.930122,,0.000000,0.022738,0.000000,0.000000,0.000000,1.000000,0.992334
2010-06-16,83.900139,,0.000000,-0.000357,-0.000000,0.000000,-0.000000,1.000000,0.991980
2010-06-17,84.035019,,0.000000,0.001608,0.000000,0.000000,0.000000,1.000000,0.993575
2010-06-18,84.126122,,0.000000,0.001084,0.000000,0.000000,0.000000,1.000000,0.994652
2010-06-21,83.885185,,0.000000,-0.002864,-0.000000,0.000000,-0.000000,1.000000,0.991803
2010-06-22,82.499786,,0.000000,-0.016515,-0.000000,0.000000,-0.000000,1.000000,0.975423
2010-06-23,82.243774,,0.000000,-0.003103,-0.000000,0.000000,-0.000000,1.000000,0.972396
2010-06-24,80.880951,,0.000000,-0.016571,-0.000000,0.000000,-0.000000,1.000000,0.956283
2010-06-25,81.219757,,0.000000,0.004189,0.000000,0.000000,0.000000,1.000000,0.960289
2010-06-28,80.963753,,0.000000,-0.003152,-0.000000,0.000000,-0.000000,1.000000,0.957262
2010-06-29,78.464035,,0.000000,-0.030875,-0.000000,0.000000,-0.000000,1.000000,0.927707
2010-06-30,77.718559,,0.000000,-0.009501,-0.000000,0.000000,-0.000000,1.000000,0.918893
2010-07-01,77.372269,,0.000000,-0.004456,-0.000000,0.000000,-0.000000,1.000000,0.914799
2010-07-02,76.950577,,0.000000,-0.005450,-0.000000,0.000000,-0.000000,1.000000,0.909813
2010-07-06,77.455101,,0.000000,0.006556,0.000000,0.000000,0.000000,1.000000,0.915778
2010-07-07,79.894592,,0.000000,0.031496,0.000000,0.000000,0.000000,1.000000,0.944621
2010-07-08,80.685181,,0.000000,0.009895,0.000000,0.000000,0.000000,1.000000,0.953968
2010-07-09,81.287521,,0.000000,0.007465,0.000000,0.000000,0.000000,1.000000,0.961090
2010-07-12,81.340225,,0.000000,0.000648,0.000000,0.000000,0.000000,1.000000,0.961713
2010-07-13,82.567543,,0.000000,0.015089,0.000000,0.000000,0.000000,1.000000,0.976224
2010-07-14,82.560013,,0.000000,-0.000091,-0.000000,0.000000,-0.000000,1.000000,0.976135
2010-07-15,82.582611,,0.000000,0.000274,0.000000,0.000000,0.000000,1.000000,0.976402
2010-07-16,80.308731,,0.000000,-0.027535,-0.000000,0.000000,-0.000000,1.000000,0.949518
2010-07-19,80.783073,,0.000000,0.005906,0.000000,0.000000,0.000000,1.000000,0.955126
2010-07-20,81.679054,,0.000000,0.011091,0.000000,0.000000,0.000000,1.000000,0.965719
2010-07-21,80.617424,,0.000000,-0.012998,-0.000000,0.000000,-0.000000,1.000000,0.953167
2010-07-22,82.416977,,0.000000,0.022322,0.000000,0.000000,0.000000,1.000000,0.974444
2010-07-23,83.132271,,0.000000,0.008679,0.000000,0.000000,0.000000,1.000000,0.982901
2010-07-26,83.998123,,0.000000,0.010415,0.000000,0.000000,0.000000,1.000000,0.993138
2010-07-27,83.990578,,0.000000,-0.000090,-0.000000,0.000000,-0.000000,1.000000,0.993049
2010-07-28,83.448486,,0.000000,-0.006454,-0.000000,0.000000,-0.000000,1.000000,0.986640
2010-07-29,83.041916,,0.000000,-0.004872,-0.000000,0.000000,-0.000000,1.000000,0.981833
2010-07-30,83.026840,,0.000000,-0.000182,-0.000000,0.000000,-0.000000,1.000000,0.981655
2010-08-02,84.901680,,0.000000,0.022581,0.000000,0.000000,0.000000,1.000000,1.003822
2010-08-03,84.495079,,0.000000,-0.004789,-0.000000,0.000000,-0.000000,1.000000,0.999014
2010-08-04,85.059753,,0.000000,0.006683,0.000000,0.000000,0.000000,1.000000,1.005690
2010-08-05,84.969444,,0.000000,-0.001062,-0.000000,0.000000,-0.000000,1.000000,1.004623
2010-08-06,84.623047,,0.000000,-0.004077,-0.000000,0.000000,-0.000000,1.000000,1.000527
2010-08-09,85.074821,,0.000000,0.005339,0.000000,0.000000,0.000000,1.000000,1.005869
2010-08-10,84.615524,,0.000000,-0.005399,-0.000000,0.000000,-0.000000,1.000000,1.000438
2010-08-11,82.296486,,0.000000,-0.027407,-0.000000,0.000000,-0.000000,1.000000,0.973019
2010-08-12,81.792023,,0.000000,-0.006130,-0.000000,0.000000,-0.000000,1.000000,0.967055
2010-08-13,81.551094,,0.000000,-0.002946,-0.000000,0.000000,-0.000000,1.000000,0.964206
2010-08-16,81.513458,,0.000000,-0.000461,-0.000000,0.000000,-0.000000,1.000000,0.963761
2010-08-17,82.514854,,0.000000,0.012285,0.000000,0.000000,0.000000,1.000000,0.975601
2010-08-18,82.665443,,0.000000,0.001825,0.000000,0.000000,0.000000,1.000000,0.977382
2010-08-19,81.227325,,0.000000,-0.017397,-0.000000,0.000000,-0.000000,1.000000,0.960378
2010-08-20,80.963753,,0.000000,-0.003245,-0.000000,0.000000,-0.000000,1.000000,0.957262
2010-08-23,80.655098,,0.000000,-0.003812,-0.000000,0.000000,-0.000000,1.000000,0.953613
2010-08-24,79.457870,,0.000000,-0.014844,-0.000000,0.000000,-0.000000,1.000000,0.939458
2010-08-25,79.766602,,0.000000,0.003885,0.000000,0.000000,0.000000,1.000000,0.943108
2010-08-26,79.232040,,0.000000,-0.006702,-0.000000,0.000000,-0.000000,1.000000,0.936787
2010-08-27,80.459312,,0.000000,0.015490,0.000000,0.000000,0.000000,1.000000,0.951298
2010-08-30,79.292229,,0.000000,-0.014505,-0.000000,0.000000,-0.000000,1.000000,0.937499
2010-08-31,79.292229,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.937499
2010-09-01,81.664017,,0.000000,0.029912,0.000000,0.000000,0.000000,1.000000,0.965542
2010-09-02,82.424461,,0.000000,0.009312,0.000000,0.000000,0.000000,1.000000,0.974533
2010-09-03,83.493652,,0.000000,0.012972,0.000000,0.000000,0.000000,1.000000,0.987174
2010-09-07,82.552490,,0.000000,-0.011272,-0.000000,0.000000,-0.000000,1.000000,0.976046
2010-09-08,83.132271,,0.000000,0.007023,0.000000,0.000000,0.000000,1.000000,0.982901
2010-09-09,83.516235,,0.000000,0.004619,0.000000,0.000000,0.000000,1.000000,0.987441
2010-09-10,83.937912,,0.000000,0.005049,0.000000,0.000000,0.000000,1.000000,0.992427
2010-09-13,84.871544,,0.000000,0.011123,0.000000,0.000000,0.000000,1.000000,1.003465
2010-09-14,84.818855,,0.000000,-0.000621,-0.000000,0.000000,-0.000000,1.000000,1.002842
2010-09-15,85.142593,,0.000000,0.003817,0.000000,0.000000,0.000000,1.000000,1.006670
2010-09-16,85.119995,,0.000000,-0.000265,-0.000000,0.000000,-0.000000,1.000000,1.006403
2010-09-17,85.151802,,0.000000,0.000374,0.000000,0.000000,0.000000,1.000000,1.006779
2010-09-20,86.453789,,0.000000,0.015290,0.000000,0.000000,0.000000,1.000000,1.022173
2010-09-21,86.279694,,0.000000,-0.002014,-0.000000,0.000000,-0.000000,1.000000,1.020114
2010-09-22,85.855782,,0.000000,-0.004913,-0.000000,0.000000,-0.000000,1.000000,1.015102
2010-09-23,85.159355,,0.000000,-0.008112,-0.000000,0.000000,-0.000000,1.000000,1.006868
2010-09-24,86.915558,,0.000000,0.020623,0.000000,0.000000,0.000000,1.000000,1.027632
2010-09-27,86.499184,,0.000000,-0.004791,-0.000000,0.000000,-0.000000,1.000000,1.022709
2010-09-28,86.801994,,0.000000,0.003501,0.000000,0.000000,0.000000,1.000000,1.026290
2010-09-29,86.650612,,0.000000,-0.001744,-0.000000,0.000000,-0.000000,1.000000,1.024500
2010-09-30,86.393227,,0.000000,-0.002970,-0.000000,0.000000,-0.000000,1.000000,1.021457
2010-10-01,86.756592,,0.000000,0.004206,0.000000,0.000000,0.000000,1.000000,1.025753
2010-10-04,86.105591,,0.000000,-0.007504,-0.000000,0.000000,-0.000000,1.000000,1.018056
2010-10-05,87.839058,,0.000000,0.020132,0.000000,0.000000,0.000000,1.000000,1.038551
2010-10-06,87.831482,,0.000000,-0.000086,-0.000000,0.000000,-0.000000,1.000000,1.038462
2010-10-07,87.725517,,0.000000,-0.001206,-0.000000,0.000000,-0.000000,1.000000,1.037209
2010-10-08,88.217529,,0.000000,0.005609,0.000000,0.000000,0.000000,1.000000,1.043026
2010-10-11,88.300812,,0.000000,0.000944,0.000000,0.000000,0.000000,1.000000,1.044011
2010-10-12,88.573349,,0.000000,0.003086,0.000000,0.000000,0.000000,1.000000,1.047233
2010-10-13,89.262177,,0.000000,0.007777,0.000000,0.000000,0.000000,1.000000,1.055377
2010-10-14,88.913956,,0.000000,-0.003901,-0.000000,0.000000,-0.000000,1.000000,1.051260
2010-10-15,89.095634,,0.000000,0.002043,0.000000,0.000000,0.000000,1.000000,1.053408
2010-10-18,89.534691,84.272237,0.000000,0.004928,0.000000,0.000000,0.000000,1.000000,1.058599
2010-10-19,88.361359,84.291152,1.000000,-0.013105,-0.013105,0.000500,-0.013605,0.986395,1.044726
2010-10-20,89.224297,84.313261,1.000000,0.009766,0.009766,0.000000,0.009766,0.996028,1.054929
2010-10-21,89.421120,84.336056,1.000000,0.002206,0.002206,0.000000,0.002206,0.998226,1.057256
2010-10-22,89.587685,84.357893,1.000000,0.001863,0.001863,0.000000,0.001863,1.000085,1.059226
2010-10-25,89.852623,84.379637,1.000000,0.002957,0.002957,0.000000,0.002957,1.003042,1.062358
2010-10-26,89.867752,84.400859,1.000000,0.000168,0.000168,0.000000,0.000168,1.003211,1.062537
2010-10-27,89.610374,84.424787,1.000000,-0.002864,-0.002864,0.000000,-0.002864,1.000338,1.059494
2010-10-28,89.625504,84.445209,1.000000,0.000169,0.000169,0.000000,0.000169,1.000507,1.059673
2010-10-29,89.693657,84.464814,1.000000,0.000760,0.000760,0.000000,0.000760,1.001268,1.060479
2010-11-01,89.723915,84.489384,1.000000,0.000337,0.000337,0.000000,0.000337,1.001606,1.060836
2010-11-02,90.435493,84.512214,1.000000,0.007931,0.007931,0.000000,0.007931,1.009549,1.069250
2010-11-03,90.798798,84.541226,1.000000,0.004017,0.004017,0.000000,0.004017,1.013605,1.073545
2010-11-04,92.547432,84.587153,1.000000,0.019258,0.019258,0.000000,0.019258,1.033125,1.094220
2010-11-05,92.895645,84.644113,1.000000,0.003763,0.003763,0.000000,0.003763,1.037012,1.098337
2010-11-08,92.721519,84.698112,1.000000,-0.001874,-0.001874,0.000000,-0.001874,1.035069,1.096278
2010-11-09,92.055359,84.750497,1.000000,-0.007185,-0.007185,0.000000,-0.007185,1.027632,1.088402
2010-11-10,92.426331,84.802797,1.000000,0.004030,0.004030,0.000000,0.004030,1.031773,1.092788
2010-11-11,92.078102,84.858057,1.000000,-0.003768,-0.003768,0.000000,-0.003768,1.027886,1.088671
2010-11-12,90.988037,84.912270,1.000000,-0.011838,-0.011838,0.000000,-0.011838,1.015717,1.075783
2010-11-15,90.859367,84.959608,1.000000,-0.001414,-0.001414,0.000000,-0.001414,1.014281,1.074261
2010-11-16,89.443817,84.994943,1.000000,-0.015580,-0.015580,0.000000,-0.015580,0.998479,1.057525
2010-11-17,89.489243,85.032557,1.000000,0.000508,0.000508,0.000000,0.000508,0.998986,1.058062
2010-11-18,90.806366,85.089406,1.000000,0.014718,0.014718,0.000000,0.014718,1.013689,1.073635
2010-11-19,91.056213,85.146684,1.000000,0.002751,0.002751,0.000000,0.002751,1.016478,1.076589
2010-11-22,90.980492,85.206457,1.000000,-0.000832,-0.000832,0.000000,-0.000832,1.015633,1.075693
2010-11-23,89.663353,85.254680,1.000000,-0.014477,-0.014477,0.000000,-0.014477,1.000930,1.060120
2010-11-24,90.988037,85.310312,1.000000,0.014774,0.014774,0.000000,0.014774,1.015717,1.075783
