date,gross_return,cost,net_return,gross_exposure,weight_SPY,weight_EFA,weight_AGG,weight_VNQ,weight_GLD,bench_SPY,bench_6040,bench_EW5,cum_strategy,cum_SPY,cum_6040,cum_EW5
2010-01-04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,1.000000,,,
2010-01-05,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002647,0.003408,0.001209,1.000000,1.002647,1.003408,1.001209
2010-01-06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000704,0.000191,0.003811,1.000000,1.003353,1.003600,1.005025
2010-01-07,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004221,0.002070,0.000765,1.000000,1.007588,1.005677,1.005793
2010-01-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003328,0.002228,0.001889,1.000000,1.010942,1.007918,1.007693
2010-01-11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001396,0.000529,0.005592,1.000000,1.012353,1.008452,1.013327
2010-01-12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009326,-0.003047,-0.010476,1.000000,1.002912,1.005379,1.002712
2010-01-13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008446,0.003380,0.008467,1.000000,1.011383,1.008777,1.011202
2010-01-14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002704,0.002663,0.003292,1.000000,1.014118,1.011463,1.014530
2010-01-15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011224,-0.005966,-0.008603,1.000000,1.002735,1.005429,1.005803
2010-01-18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.002735,1.005429,1.005803
2010-01-19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012496,0.006845,0.009408,1.000000,1.015265,1.012311,1.015266
2010-01-20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010169,-0.005064,-0.013487,1.000000,1.004941,1.007185,1.001573
2010-01-21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.019229,-0.011422,-0.016680,1.000000,0.985617,0.995681,0.984866
2010-01-22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.022292,-0.013145,-0.013646,1.000000,0.963646,0.982592,0.971427
